법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고,_격리사유
참회계법인(구:명일회계법인),,2017.06,8.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,3,"서울특별시 영등포구 국제금융로 10, 쓰리아이에프씨동 43층 07326",X,,,,딜자문은 사업보고서상 '경영자문' 기준,부문합 0.00 ≠ 합계 8.57 (100.00% 차이) / 비중합 0.00 ≠ 100 (100.00%p 차이)
참회계법인(구:명일회계법인),,2018.06,30.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,3,"서울특별시 영등포구 국제금융로 10, 쓰리아이에프씨동 43층 07326",X,,,,딜자문은 사업보고서상 '경영자문' 기준,부문합 0.00 ≠ 합계 30.76 (100.00% 차이) / 비중합 0.00 ≠ 100 (100.00%p 차이)
참회계법인(구:명일회계법인),,2019.06,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,3,"서울특별시 영등포구 국제금융로 10, 쓰리아이에프씨동 43층",X,명장호,명장호,,딜자문은 사업보고서상 '경영자문' 기준,부문합 0.00 ≠ 합계 17.75 (100.00% 차이) / 비중합 0.00 ≠ 100 (100.00%p 차이)
