법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고,_격리사유
신아회계법인,,2018.03,69.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,9,"서울특별시 강남구 테헤란로 123, 3층 (역삼동, 여삼빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준,부문합 0.00 ≠ 합계 69.54 (100.00% 차이) / 비중합 0.00 ≠ 100 (100.00%p 차이)
신아회계법인,,2019.03,68.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,5,"서울특별시 서초구 서운로 226, 322호 (서초동)",X,이찬호,이찬호,,딜자문은 사업보고서상 '경영자문' 기준,부문합 0.00 ≠ 합계 68.55 (100.00% 차이) / 비중합 0.00 ≠ 100 (100.00%p 차이)
