법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
정동회계법인,,2022.03,163.82,65.01,28.91,57.59,12.31,39.68,17.65,35.16,7.51,45,0,19,"서울특별시 강남구 언주로651(논현동 210-1) 삼원빌딩 2,7층",X,김지환 사원,김지환 사원,,딜자문은 사업보고서상 '경영자문' 기준
정동회계법인,,2023.03,205.05,90.43,34.28,80.35,0.0,44.1,16.72,39.18,0.0,52,1,19,서울특별시 강남구 언주로651 삼원빌딩 7층,X,김지환 사원,김지환 사원,,딜자문은 사업보고서상 '경영자문' 기준
정동회계법인,,2024.03,201.53,92.33,37.32,71.88,0.0,45.82,18.52,35.67,0.0,55,2,19,서울특별시 강남구 언주로651 삼원빌딩 7층,X,김지환 사원,김지환 사원,,딜자문은 사업보고서상 '경영자문' 기준
정동회계법인,,2025.03,198.96,91.1,39.3,68.55,0.0,45.79,19.75,34.46,0.0,59,4,22,서울특별시 강남구 언주로651 삼원빌딩 7층,X,김지환 사원,김지환 사원,,딜자문은 사업보고서상 '경영자문' 기준
정동회계법인,,2026.03,187.84,84.5,42.44,60.9,0.0,44.98,22.6,32.42,0.0,66,2,25,서울특별시 강남구 언주로651 삼원빌딩 7층,X,김지환 사원,김지환 사원,,딜자문은 사업보고서상 '경영자문' 기준
