법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
진평회계법인,,2023.03,20.0,0.32,1.58,18.1,0.0,1.6,7.91,90.49,0.0,10,0,7,서울시 영등포구 양산로 91 리드원센터 1311호,X,김용환,김용환,,딜자문은 사업보고서상 '경영자문' 기준
진평회계법인,,2024.03,29.72,0.45,11.63,17.65,0.0,1.5,39.11,59.39,0.0,10,0,7,서울시 영등포구 양산로 91 리드원센터 1311호,X,김용환,김용환,,딜자문은 사업보고서상 '경영자문' 기준
진평회계법인,,2025.03,37.61,0.64,23.19,13.78,0.0,1.7,61.67,36.64,0.0,9,0,5,서울 영등포구 양산로 91 리드원센터 1311호,X,,,,딜자문은 사업보고서상 '경영자문' 기준
진평회계법인,,2026.03,32.82,0.53,17.65,14.64,0.0,1.61,53.77,44.61,0.0,7,2,5,서울 영등포구 양산로 91 리드원센터 1311호,X,김용환,김용환,,딜자문은 사업보고서상 '경영자문' 기준
