법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
안세회계법인,,2022.03,622.41,53.15,401.87,167.4,0.0,8.54,64.57,26.89,0.0,115,0,75,서울시 영등포구 영등포로84길 41,X,,,,딜자문은 사업보고서상 '경영자문' 기준
안세회계법인,,2023.03,649.89,55.48,456.49,137.92,0.0,8.53,70.25,21.22,0.0,110,0,77,"서울시 영등포구 영등포로84길 41(신길동, 안세빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
안세회계법인,,2024.03,711.78,59.03,498.39,154.36,0.0,8.29,70.02,21.69,0.0,110,0,81,"서울시 영등포구 영등포로84길 41(신길동, 안세빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
안세회계법인,,2025.03,812.7,72.03,564.47,176.21,0.0,8.86,69.46,21.68,0.0,120,2,79,"서울시 영등포구 영등포로84길 41(신길동, 안세빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
안세회계법인,,2026.03,841.65,77.9,604.75,159.01,0.0,9.26,71.85,18.89,0.0,125,2,86,"서울시 영등포구 영등포로84길 41(신길동, 안세빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
