법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
이촌회계법인,,2022.03,630.32,183.12,180.5,266.7,0.0,29.05,28.64,42.31,0.0,197,7,42,서울특별시 영등포구 여,X,김명진,김명진,,딜자문은 사업보고서상 '경영자문' 기준
이촌회계법인,,2023.03,803.01,258.21,219.83,324.96,0.0,32.16,27.38,40.47,0.0,226,1,44,서울특별시 영등포구 여,X,김명진,김명진,,딜자문은 사업보고서상 '경영자문' 기준
이촌회계법인,Assurance Services,2024.03,767.51,225.47,204.72,337.31,0.0,29.38,26.67,43.95,0.0,237,8,52,서울특별시 영등포구 여의나루로 60(여의도 포스트타워),X,김명진,김명진,,딜자문은 사업보고서상 '경영자문' 기준
이촌회계법인,Assurance Service,2025.03,801.51,227.91,219.33,354.27,0.0,28.43,27.37,44.2,0.0,244,8,53,서울특별시 영등포구 여의나루로 60(여의도 포스트타워),X,이한선,이한선,,딜자문은 사업보고서상 '경영자문' 기준
이촌회계법인,Assurance Service,2026.03,806.69,224.8,225.04,356.85,0.0,27.87,27.9,44.23,0.0,264,8,58,서울특별시 영등포구 여의나루로 60(여의도 포스트타워),X,이한선,이한선,,딜자문은 사업보고서상 '경영자문' 기준
