법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
양지회계법인,,2022.03,82.45,17.49,53.38,2.46,9.13,21.0,64.74,2.98,11.07,16,0,15,"광주광역시 서구 상무중앙로 43 (치평동, 5층)",X,김기욱,김기욱,,딜자문은 사업보고서상 '경영자문' 기준
양지회계법인,,2023.03,85.51,20.18,56.43,2.03,6.86,23.6,65.99,2.38,8.02,16,0,15,"광주광역시 서구 상무중앙로 43 (치평동, 5층)",X,김기욱,김기욱,,딜자문은 사업보고서상 '경영자문' 기준
양지회계법인,,2024.03,87.49,20.95,56.89,2.06,7.59,23.95,65.03,2.36,8.67,16,0,15,"광주광역시 서구 상무중앙로 43 (치평동, 5층)",X,김기욱,김기욱,,딜자문은 사업보고서상 '경영자문' 기준
양지회계법인,,2025.03,89.81,20.66,57.5,4.37,7.28,23.0,64.02,4.87,8.11,16,0,15,"광주광역시 서구 상무중앙로 43 (치평동, 5층)",X,김기욱,김기욱,,딜자문은 사업보고서상 '경영자문' 기준
양지회계법인,,2026.03,89.24,21.44,56.71,2.19,8.9,24.02,63.55,2.45,9.97,16,0,15,"광주광역시 서구 상무중앙로 43 (치평동, 5층)",X,김대웅,김대웅,,딜자문은 사업보고서상 '경영자문' 기준
