법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
윤솔회계법인,,2023.03,31.67,6.77,16.87,4.37,3.66,21.39,53.27,13.79,11.54,11,0,11,"경상남도 김해시 호계로 411, 5층(부원동)",X,송윤한,송윤한,,딜자문은 사업보고서상 '경영자문' 기준
윤솔회계법인,,2024.03,51.43,11.73,29.41,8.16,2.13,22.81,57.19,15.86,4.14,14,0,13,"경상남도 김해시 호계로 411, 5층(부원동)",X,송윤한,송윤한,,딜자문은 사업보고서상 '경영자문' 기준
윤솔회계법인,,2025.03,55.84,14.44,31.3,7.04,3.06,25.81,56.08,12.62,5.48,13,0,12,"경상남도 김해시 호계로 411, 5층(부원동)",X,송윤한,송윤한,,딜자문은 사업보고서상 '경영자문' 기준
윤솔회계법인,,2026.03,41.97,11.13,24.27,3.05,3.52,26.51,57.82,7.28,8.39,9,0,9,"경상남도 김해시 호계로 411, 5층(부원동)",X,송윤한,송윤한,,딜자문은 사업보고서상 '경영자문' 기준
