법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
세진회계법인,,2022.03,68.76,23.82,20.13,15.19,9.63,34.64,29.27,22.09,14.0,18,0,15,"서울시 강남구 삼성동 영동대로 112길 36 , 5층",X,김정보,김정보,,딜자문은 사업보고서상 '경영자문' 기준
세진회계법인,,2023.03,71.48,23.91,20.76,18.52,8.3,33.44,29.04,25.91,11.61,17,0,15,서울시 송파구 백제고분로 364 대신빌딩 4층,X,김정보,김정보,,딜자문은 사업보고서상 '경영자문' 기준
세진회계법인,,2024.03,73.99,29.71,22.99,13.2,8.09,40.16,31.07,17.84,10.93,20,0,16,서울시 송파구 석촌동 백제고분로 364 대신빌딩 4층,X,김정보,김정보,,딜자문은 사업보고서상 '경영자문' 기준
세진회계법인,,2025.03,81.34,28.42,21.27,11.93,19.72,34.93,26.15,14.67,24.25,19,1,16,서울시 송파구 백제고분로 364 대신빌딩 4층,X,김정보,김정보,,딜자문은 사업보고서상 '경영자문' 기준
세진회계법인,,2026.03,75.18,31.02,21.78,6.34,16.05,41.26,28.97,8.43,21.34,19,1,16,서울시 송파구 백제고분로 364 대신빌딩 4층,X,김정보,김정보,,딜자문은 사업보고서상 '경영자문' 기준
