법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
삼영회계법인,,2022.03,121.13,35.82,69.68,11.75,3.88,29.57,57.52,9.7,3.2,38,0,29,서울특별시 중구 퇴계로 307(광희빌딩 11층),X,손언승,손언승,,딜자문은 사업보고서상 '경영자문' 기준
삼영회계법인,,2023.03,142.24,35.72,87.73,12.96,5.82,25.12,61.68,9.11,4.09,37,0,30,서울특별시 중구 퇴계로 307(광희빌딩 11층),X,손언승,손언승,,딜자문은 사업보고서상 '경영자문' 기준
삼영회계법인,,2024.03,127.74,36.22,75.13,9.42,6.97,28.35,58.81,7.38,5.46,37,0,30,서울특별시 중구 퇴계로 307(광희빌딩 11층),X,손언승,손언승,,딜자문은 사업보고서상 '경영자문' 기준
삼영회계법인,,2025.03,124.67,37.94,74.18,8.97,3.57,30.43,59.5,7.2,2.87,35,0,29,서울특별시 중구 퇴계로 307(광희빌딩 11층),X,손언승,손언승,,딜자문은 사업보고서상 '경영자문' 기준
삼영회계법인,,2026.03,120.34,35.81,72.51,8.67,3.35,29.76,60.26,7.2,2.79,36,0,30,서울특별시 중구 퇴계로 307(광희빌딩 11층),X,손언승,손언승,,딜자문은 사업보고서상 '경영자문' 기준
