법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
삼우회계법인,,2022.03,19.13,4.91,0.54,12.44,1.24,25.68,2.82,65.02,6.47,10,0,4,서울특별시 강남구 논현로 305 쎄듀타워 2층,X,마성욱,마성욱,,딜자문은 사업보고서상 '경영자문' 기준
삼우회계법인,,2023.03,16.03,5.81,0.53,8.02,1.67,36.28,3.31,50.02,10.4,10,0,4,서울특별시 강남구 논현로 305 쎄듀타워 2층,X,마성욱,마성욱,,딜자문은 사업보고서상 '경영자문' 기준
삼우회계법인,,2024.03,18.62,5.95,0.61,10.72,1.34,31.94,3.29,57.57,7.2,9,1,4,서울특별시 강남구 논현로 305 쎄듀타워 2층,X,마성욱,마성욱,,딜자문은 사업보고서상 '경영자문' 기준
삼우회계법인,,2025.03,19.15,6.35,0.75,9.78,2.27,33.15,3.91,51.08,11.87,9,0,4,서울특별시 강남구 논현로 305 쎄듀타워 2층,X,마성욱,마성욱,,딜자문은 사업보고서상 '경영자문' 기준
삼우회계법인,,2026.03,25.45,6.46,0.67,16.76,1.56,25.39,2.62,65.86,6.13,9,1,4,"서울특별시 강남구 도곡로23길 20, 101동 501, 601호(역삼동)",X,마성욱,마성욱,,딜자문은 사업보고서상 '경영자문' 기준
