법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
상록회계법인,,2022.03,92.0,32.02,56.39,3.51,0.07,34.81,61.3,3.82,0.08,18,0,17,서울특별시 서초구 강남대로 581(푸른빌딩 5층),X,이재성,이재성,,딜자문은 사업보고서상 '경영자문' 기준
상록회계법인,,2023.03,91.9,34.19,53.01,3.58,1.12,37.21,57.68,3.89,1.21,19,0,17,서울특별시 서초구 강남대로 581(푸른빌딩 5층),X,이재성,이재성,,딜자문은 사업보고서상 '경영자문' 기준
상록회계법인,,2024.03,93.9,34.69,54.62,3.04,1.55,36.94,58.17,3.24,1.65,20,0,16,서울특별시 서초구 강남대로 581(푸른빌딩 5층),X,이재성,이재성,,딜자문은 사업보고서상 '경영자문' 기준
상록회계법인,,2025.03,101.62,34.1,62.53,2.98,2.02,33.56,61.53,2.93,1.98,21,0,16,서울특별시 서초구 강남대로 581(푸른빌딩 5층),X,이재성,이재성,,딜자문은 사업보고서상 '경영자문' 기준
상록회계법인,,2026.03,116.65,39.43,71.37,3.78,2.07,33.8,61.18,3.24,1.77,26,0,18,서울특별시 서초구 강남대로 581(푸른빌딩 5층),X,이재성,이재성,,딜자문은 사업보고서상 '경영자문' 기준
