법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
동성회계법인,,2021.06,186.13,51.47,68.33,36.57,29.77,27.65,36.71,19.65,15.99,65,0,31,"서울특별시 서초구 강남대로 221, 4층 408호(양재동, 양재역환승주차장)",X,박병곤,박병곤,,딜자문은 사업보고서상 '경영자문' 기준
동성회계법인,,2022.06,219.26,66.68,75.76,45.81,31.01,30.41,34.56,20.9,14.14,67,1,37,"서울특별시 서초구 강남대로 221, 4층 408호(양재동, 양재역환승주차장)",X,박병곤,박병곤,,딜자문은 사업보고서상 '경영자문' 기준
동성회계법인,,2023.06,242.33,77.09,90.8,41.25,33.19,31.81,37.47,17.02,13.7,86,1,38,"서울특별시 서초구 강남대로 221, 4층 408호(양재동, 양재역환승주차장)",X,박병곤,박병곤,,딜자문은 사업보고서상 '경영자문' 기준
동성회계법인,,2024.06,314.34,103.36,122.69,50.53,37.76,32.89,39.03,16.07,12.01,111,0,41,"서울특별시 서초구 강남대로 221, 4층 408호(양재동, 양재역환승주차장)",X,박병곤,박병곤,,딜자문은 사업보고서상 '경영자문' 기준
동성회계법인,,2025.06,339.06,129.9,111.97,57.42,39.77,38.31,33.02,16.93,11.73,120,8,42,"서울특별시 서초구 강남대로 221, 4층 408호(양재동, 양재역환승주차장)",X,박병곤,박병곤,,딜자문은 사업보고서상 '경영자문' 기준
