법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
나루회계법인,,2024.03,51.67,17.15,6.54,27.97,0.0,33.2,12.66,54.14,0.0,14,1,10,"서울특별시 영등포구 여의나루로 57, 9충(여의도동, 신송센터빌딩)",X,김주형,김주형,,딜자문은 사업보고서상 '경영자문' 기준
나루회계법인,,2025.03,65.87,15.03,6.42,44.3,0.12,22.82,9.75,67.25,0.18,12,1,10,"서울특별시 영등포구 여의나루로 57, 9충(여의도동, 신송센터빌딩)",X,김주형,김주형,,딜자문은 사업보고서상 '경영자문' 기준
나루회계법인,,2026.03,57.48,21.75,6.24,29.34,0.15,37.84,10.87,51.04,0.25,13,0,9,"서울특별시 영등포구 여의나루로 57, 9충(여의도동, 신송센터빌딩)",X,김주형,김주형,,딜자문은 사업보고서상 '경영자문' 기준
