법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
가은회계법인,,2022.03,36.36,5.9,18.42,1.3,10.74,16.23,50.67,3.56,29.54,11,0,8,서울시 서초구 서초대로 253 지천빌딩 5층,X,최용,최용,,딜자문은 사업보고서상 '경영자문' 기준
가은회계법인,,2023.03,52.36,6.97,20.46,0.87,24.06,13.32,39.08,1.65,45.95,11,0,9,서울시 서초구 서초대로 253 지천빌딩 5층,X,허정민,허정민,,딜자문은 사업보고서상 '경영자문' 기준
가은회계법인,,2024.03,110.86,7.72,18.3,0.92,83.92,6.96,16.51,0.83,75.7,11,0,10,서울시 서초구 서초대로 253 지천빌딩 5층,X,허정민,허정민,,딜자문은 사업보고서상 '경영자문' 기준
가은회계법인,,2025.03,25.58,7.41,13.65,0.96,3.56,28.96,53.35,3.76,13.93,11,0,10,서울시 서초구 서초대로 253 지천빌딩 5층,X,허정민,허정민,,딜자문은 사업보고서상 '경영자문' 기준
가은회계법인,,2026.03,23.23,6.98,12.23,0.77,3.24,30.07,52.64,3.33,13.96,11,0,10,서울시 강남구 삼성로81길 31 애드라빌딩 2층,X,최용,최용,,딜자문은 사업보고서상 '경영자문' 기준
