법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
다율회계법인,,2022.03,60.79,12.87,30.95,15.96,1.02,21.17,50.9,26.25,1.68,14,0,12,"서울시 서초구 효령로61길 6, 7층(서초동, 신도빌딩)",X,이호현,이호현,,딜자문은 사업보고서상 '경영자문' 기준
다율회계법인,,2023.03,69.42,13.14,35.05,19.87,1.37,18.92,50.48,28.62,1.97,15,0,12,"서울시 서초구 효령로61길 6, 7층(서초동, 신도빌딩)",X,이호현,이호현,,딜자문은 사업보고서상 '경영자문' 기준
다율회계법인,,2024.03,68.77,11.02,36.5,19.84,1.41,16.02,53.08,28.86,2.05,12,0,11,"서울시 서초구 효령로61길 6, 7층(서초동, 신도빌딩)",X,이호현,이호현,,딜자문은 사업보고서상 '경영자문' 기준
다율회계법인,,2025.03,73.31,11.98,43.64,15.94,1.75,16.34,59.52,21.74,2.39,15,0,13,"서울시 서초구 효령로61길 6, 7층(서초동, 신도빌딩)",X,이호현,이호현,,딜자문은 사업보고서상 '경영자문' 기준
다율회계법인,,2026.03,71.74,11.68,40.62,17.72,1.72,16.28,56.62,24.7,2.4,14,0,11,"서울시 서초구 효령로61길 6, 7층(서초동, 신도빌딩)",X,이호현,이호현,,딜자문은 사업보고서상 '경영자문' 기준
