법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
서본회계법인,,2022.03,64.61,0.05,0.0,64.57,0.0,0.07,0.0,99.93,0.0,14,0,9,"서울특별시 중구 서소문로 11길 50, 신아빌딩 3층",X,위설향 대표이사,위설향 대표이사,,딜자문은 사업보고서상 '경영자문' 기준
서본회계법인,,2023.03,115.42,0.11,3.49,111.82,0.0,0.09,3.03,96.88,0.0,16,0,10,"서울특별시 중구 서소문로 11길 50, 신아빌딩 3층",X,위설향 대표이사,위설향 대표이사,,딜자문은 사업보고서상 '경영자문' 기준
서본회계법인,,2025.03,68.71,0.54,2.78,65.39,0.0,0.79,4.04,95.17,0.0,19,0,10,"서울특별시 중구 서소문로 11길 50, 신아빌딩 3층",X,위설향 대표이사,위설향 대표이사,,딜자문은 사업보고서상 '경영자문' 기준
서본회계법인,,2026.03,75.73,0.41,3.76,71.56,0.0,0.54,4.97,94.49,0.0,26,0,14,"서울특별시 중구 서소문로 11길 50, 신아빌딩 3층",X,위설향 대표이사,위설향 대표이사,,딜자문은 사업보고서상 '경영자문' 기준
