법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
이정회계법인,,2022.03,256.72,94.74,59.76,85.42,16.8,36.9,23.28,33.27,6.54,74,2,33,"서울 서초구 반포대로 306 5층(잠원동, 우진빌딩)",X,최창기,최창기,,딜자문은 사업보고서상 '경영자문' 기준
이정회계법인,,2023.03,308.6,122.36,61.49,111.04,13.71,39.65,19.93,35.98,4.44,79,0,33,"서울 서초구 반포대로 306 5층(잠원동, 우진빌딩)",X,김선엽,김선엽,,딜자문은 사업보고서상 '경영자문' 기준
이정회계법인,,2024.03,304.96,130.43,63.33,96.77,14.44,42.77,20.77,31.73,4.74,84,1,34,"서울 서초구 반포대로 306 5층(잠원동, 우진빌딩)",X,김선엽,김선엽,,딜자문은 사업보고서상 '경영자문' 기준
이정회계법인,,2025.03,311.88,129.0,69.68,99.74,13.45,41.36,22.34,31.98,4.31,90,9,37,"서울 서초구 반포대로 306 5층(잠원동, 우진빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
이정회계법인,,2026.03,288.07,117.53,57.09,101.65,11.8,40.8,19.82,35.29,4.1,91,8,38,"서울 서초구 반포대로 306 5층(잠원동, 우진빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
