법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
다산회계법인,,2022.03,209.43,119.01,40.74,9.24,40.44,56.83,19.45,4.41,19.31,92,3,43,서울시 강남구 역삼로 98길 23(대치동 983),X,김석호 이사,김석호 이사,,딜자문은 사업보고서상 '경영자문' 기준
다산회계법인,,2023.03,233.95,138.79,37.72,9.3,48.13,59.32,16.12,3.98,20.57,99,0,42,서울시 강남구 역삼로 98길 23(대치동 983),X,김석호 이사,김석호 이사,,딜자문은 사업보고서상 '경영자문' 기준
다산회계법인,,2024.03,229.56,129.88,40.35,9.82,49.5,56.58,17.58,4.28,21.56,100,2,41,서울시 강남구 영동대로 325(대치동 S-Tower 9층),X,김석호 이사,김석호 이사,,딜자문은 사업보고서상 '경영자문' 기준
다산회계법인,,2025.03,221.43,115.95,36.2,8.68,60.6,52.36,16.35,3.92,27.37,104,2,45,서울시 강남구 영동대로 325(대치동 S-Tower 9층),X,김용국 이사,김용국 이사,,딜자문은 사업보고서상 '경영자문' 기준
다산회계법인,,2026.03,219.72,113.12,40.83,6.78,59.0,51.48,18.58,3.09,26.85,102,5,44,서울시 강남구 영동대로 325(대치동 S-Tower 9층),X,,,,딜자문은 사업보고서상 '경영자문' 기준
