법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
정현회계법인,,2022.03,82.64,27.1,31.46,23.92,0.15,32.8,38.06,28.95,0.19,25,0,17,"서울시 강남구 테헤란로88길 17, 세안빌딩 7층",X,노은한,노은한,,딜자문은 사업보고서상 '경영자문' 기준
정현회계법인,,2023.03,87.92,28.55,33.7,25.31,0.36,32.48,38.33,28.78,0.41,22,0,16,"서울시 강남구 테헤란로88길 17, 세안빌딩 7층",X,노은한,노은한,,딜자문은 사업보고서상 '경영자문' 기준
정현회계법인,,2024.03,93.54,26.35,29.49,37.62,0.08,28.17,31.52,40.22,0.08,22,0,16,"서울시 강남구 테헤란로88길 17, 세안빌딩 7층",X,노은한,노은한,,딜자문은 사업보고서상 '경영자문' 기준
정현회계법인,,2025.03,84.71,26.53,28.24,29.82,0.12,31.31,33.34,35.21,0.14,23,0,16,"서울시 강남구 테헤란로88길 17, 세안빌딩 7층",X,노은한,노은한,,딜자문은 사업보고서상 '경영자문' 기준
정현회계법인,,2026.03,85.77,27.23,28.7,29.72,0.12,31.74,33.46,34.65,0.14,23,1,18,"서울시 강남구 테헤란로88길 17, 세안빌딩 7층",X,노은한,노은한,,딜자문은 사업보고서상 '경영자문' 기준
