법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
선일회계법인,,2021.03,127.59,64.12,25.08,32.9,5.49,50.26,19.65,25.79,4.3,54,4,19,"부산광역시 남구 자성로 152, 401호(문현동, 한일오피스텔)",X,반경찬,반경찬,,딜자문은 사업보고서상 '경영자문' 기준
선일회계법인,,2022.03,169.8,75.86,31.81,56.28,5.85,44.67,18.74,33.14,3.45,59,4,19,"부산광역시 남구 자성로 152, 401호(문현동, 한일오피스텔)",X,반경찬,반경찬,,딜자문은 사업보고서상 '경영자문' 기준
선일회계법인,,2023.06,166.01,95.88,25.33,42.08,2.72,57.75,15.26,25.35,1.64,67,1,20,"부산광역시 남구 자성로 152, 401호(문현동, 한일오피스텔)",X,반경찬,반경찬,,딜자문은 사업보고서상 '경영자문' 기준
선일회계법인,,2024.06,167.55,90.95,26.44,43.05,7.1,54.28,15.78,25.69,4.24,57,4,19,"부산광역시 남구 자성로 152, 401호(문현동, 한일오피스텔)",X,반경찬,반경찬,,딜자문은 사업보고서상 '경영자문' 기준
선일회계법인,,2025.06,147.39,82.06,24.36,36.87,4.11,55.67,16.52,25.01,2.79,55,5,20,"부산광역시 남구 자성로 152, 401호(문현동, 한일오피스텔)",X,반경찬,반경찬,,딜자문은 사업보고서상 '경영자문' 기준
