법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
지암회계법인,,2022.03,21.83,11.97,2.81,6.9,0.16,54.83,12.86,31.59,0.71,11,0,9,"서울특별시 강남구 봉은사로 5길 6, 6층(코너빌딩)",X,김경렬,김경렬,,딜자문은 사업보고서상 '경영자문' 기준
지암회계법인,,2023.03,24.6,13.42,2.53,8.53,0.11,54.58,10.31,34.68,0.44,11,0,9,"서울특별시 강남구 봉은사로 5길 6, 6층(코너빌딩)",X,김경렬,김경렬,,딜자문은 사업보고서상 '경영자문' 기준
지암회계법인,,2025.03,22.8,15.14,2.54,5.02,0.11,66.4,11.12,22.0,0.48,11,0,9,"서울특별시 강남구 봉은사로 5길 6, 6층(코너빌딩)",X,김경렬,김경렬,,딜자문은 사업보고서상 '경영자문' 기준
지암회계법인,,2026.03,19.48,12.51,2.46,3.92,0.59,64.2,12.64,20.12,3.05,10,0,8,"서울특별시 강남구 봉은사로 5길 6, 6층(코너빌딩)",X,김경렬,김경렬,,딜자문은 사업보고서상 '경영자문' 기준
