법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
송현회계법인,,2022.03,19.51,7.1,10.73,0.35,1.33,36.37,55.02,1.78,6.83,10,0,6,"서울특별시 강남구 논현로87길 23, 3층 (역삼동, 소정빌딩)",X,박종구,박종구,,딜자문은 사업보고서상 '경영자문' 기준
송현회계법인,,2023.03,18.51,6.2,11.83,0.3,0.18,33.48,63.92,1.62,0.98,10,0,8,"서울특별시 강남구 논현로87길 23, 3층 (역삼동, 소정빌딩)",X,박종구,박종구,,딜자문은 사업보고서상 '경영자문' 기준
송현회계법인,,2024.03,19.57,7.47,11.82,0.02,0.26,38.16,60.38,0.09,1.35,10,0,8,"서울특별시 강남구 논현로87길 23, 3층 (역삼동, 소정빌딩)",X,박종구,박종구,,딜자문은 사업보고서상 '경영자문' 기준
송현회계법인,,2025.03,19.17,7.2,11.51,0.02,0.44,37.57,60.03,0.09,2.3,9,0,8,"서울특별시 강남구 논현로87길 23, 3층 (역삼동, 소정빌딩)",X,박종구,박종구,,딜자문은 사업보고서상 '경영자문' 기준
송현회계법인,,2026.03,18.81,7.08,11.17,0.54,0.02,37.66,59.37,2.87,0.1,9,0,8,"서울특별시 강남구 논현로87길 23, 3층 (역삼동, 소정빌딩)",X,박종구,박종구,,딜자문은 사업보고서상 '경영자문' 기준
