회사명,종목코드,시장,감사인,감사의견,비고
포바이포,389140,코스닥,신한회계법인,적정의견,
지투파워,388050,코스닥,성현회계법인,적정의견,
씨피시스템,413630,코스닥,동성회계법인,적정의견,
코람코더원리츠,417310,유가,삼도회계법인,적정의견,
세아메카닉스,396300,코스닥,한울회계법인,적정의견,
나인앤컴퍼니,366030,코스닥,삼정회계법인,적정의견,
유일로보틱스,388720,코스닥,태일회계법인,적정의견,
모아데이타,288980,코스닥,,,최근 2년 사업보고서 없음
메쎄이상,408920,코스닥,이촌회계법인,적정의견,
노을,376930,코스닥,삼일회계법인,적정의견,
비씨엔씨,146320,코스닥,선진회계법인,적정의견,
풍원정밀,371950,코스닥,동현회계법인,적정의견,
스톤브릿지벤처스,330730,코스닥,태일회계법인,적정의견,
브이씨,365900,코스닥,동현회계법인,적정의견,
퓨런티어,370090,코스닥,다산회계법인,적정의견,
바이오에프디엔씨,251120,코스닥,동성회계법인,적정의견,
인카금융서비스,211050,코스닥,신한회계법인,적정의견,
나래나노텍,137080,코스닥,인덕회계법인,적정의견,
아셈스,136410,코스닥,안경회계법인,적정의견,
스코넥,276040,코스닥,예지회계법인,의견거절,
이지트로닉스,377330,코스닥,한미회계법인,적정의견,
LG에너지솔루션,373220,유가,안진회계법인,적정의견,
애드바이오텍,179530,코스닥,우리회계법인,적정의견,
케이옥션,102370,코스닥,삼덕회계법인,적정의견,
오토앤,353590,코스닥,대성삼경회계법인,적정의견,
아티스트스튜디오,200350,코스닥,대주회계법인,적정의견,
신한서부티엔디리츠,404990,유가,우리회계법인,적정의견,
툴젠,199800,코스닥,신한회계법인,적정의견,
미래에셋글로벌리츠,396690,유가,태성회계법인,적정의견,
SK스퀘어,402340,유가,삼정회계법인,적정의견,
마음AI,377480,코스닥,삼덕회계법인,적정의견,
알비더블유,361570,코스닥,삼덕회계법인,적정의견,
NH올원리츠,400760,유가,삼덕회계법인,적정의견,
트윔,290090,코스닥,이촌회계법인,적정의견,
아이티아이즈,372800,코스닥,대주회계법인,적정의견,
지오엘리먼트,311320,코스닥,우리회계법인,적정의견,
SKAI,357880,코스닥,한미회계법인,적정의견,
디어유,376300,코스닥,인덕회계법인,적정의견,
지니너스,389030,코스닥,동아송강회계법인,적정의견,
카카오페이,377300,유가,삼일회계법인,적정의견,
피코그램,376180,코스닥,이정회계법인,적정의견,
엔켐,348370,코스닥,현대회계법인,적정의견,
리파인,377450,코스닥,이촌회계법인,적정의견,
지앤비에스 에코,382800,코스닥,현대회계법인,적정의견,
아이패밀리에스씨,114840,코스닥,우리회계법인,적정의견,
아리바이오LAB,261780,코스닥,서우회계법인,적정의견,
지아이텍,382480,코스닥,대주회계법인,적정의견,
코닉오토메이션,391710,코스닥,이촌회계법인,적정의견,
케이카,381970,유가,삼일회계법인,적정의견,
씨유테크,376290,코스닥,안진회계법인,적정의견,
아스플로,159010,코스닥,대주회계법인,적정의견,
원준,382840,코스닥,동현회계법인,적정의견,
실리콘투,257720,코스닥,신우회계법인,적정의견,
에스앤디,260970,코스닥,신한회계법인,적정의견,
프롬바이오,377220,코스닥,대주회계법인,적정의견,
바이오플러스,099430,코스닥,우리회계법인,적정의견,
HD현대중공업,329180,유가,삼정회계법인,적정의견,
SK리츠,395400,유가,이촌회계법인,적정의견,
와이엠텍,273640,코스닥,이촌회계법인,적정의견,
에이비온,203400,코스닥,인덕회계법인,적정의견,
라이콤,388790,코스닥,대주회계법인,적정의견,
일진하이솔루스,271940,유가,대주회계법인,적정의견,
디앤디플랫폼리츠,377190,유가,현대회계법인,적정의견,
바이젠셀,308080,코스닥,한울회계법인,적정의견,
아주스틸,139990,유가,대주회계법인,적정의견,
롯데렌탈,089860,유가,삼정회계법인,적정의견,
브레인즈컴퍼니,099390,코스닥,성현회계법인,적정의견,
딥노이드,315640,코스닥,대주회계법인,적정의견,
한컴라이프케어,372910,유가,한영회계법인,적정의견,
엠로,058970,코스닥,삼일회계법인,적정의견,
플래티어,367000,코스닥,대주회계법인,적정의견,
원티드랩,376980,코스닥,삼덕회계법인,적정의견,
크래프톤,259960,유가,삼정회계법인,적정의견,
HK이노엔,195940,코스닥,한영회계법인,적정의견,
PI첨단소재,178920,유가,삼일회계법인,적정의견,
카카오뱅크,323410,유가,삼일회계법인,적정의견,
에브리봇,270660,코스닥,대주회계법인,적정의견,
비트맥스,377030,코스닥,,,감사의견 절을 못 찾음
큐라클,365270,코스닥,삼정회계법인,적정의견,
에스디바이오센서,137310,유가,삼정회계법인,적정의견,
오비고,352910,코스닥,태일회계법인,적정의견,
엠씨넥스,097520,유가,삼정회계법인,적정의견,
아모센스,357580,코스닥,정진세림회계법인,적정의견,
이노뎁,303530,코스닥,대주회계법인,적정의견,
라온로보틱스,232680,코스닥,선진회계법인,적정의견,
페니트리움바이오,187660,코스닥,삼덕회계법인,적정의견,
에코프로에이치엔,383310,코스닥,삼정회계법인,적정의견,
LX홀딩스,383800,유가,안진회계법인,적정의견,
진시스템,363250,코스닥,삼화회계법인,적정의견,
한울앤제주,276730,코스닥,삼일회계법인,적정의견,
F&F,383220,유가,한영회계법인,적정의견,
삼영에스앤씨,361670,코스닥,삼일회계법인,적정의견,
샘씨엔에스,252990,코스닥,삼정회계법인,적정의견,
씨앤씨인터내셔널,352480,코스닥,삼정회계법인,적정의견,
에이치피오,357230,코스닥,삼정회계법인,적정의견,
SK아이이테크놀로지,361610,유가,한영회계법인,적정의견,
쿠콘,294570,코스닥,삼덕회계법인,적정의견,
이삭엔지니어링,351330,코스닥,삼일회계법인,적정의견,
해성에어로보틱스,059270,코스닥,삼덕회계법인,적정의견,
엔시스,333620,코스닥,이정회계법인,적정의견,
자이언트스텝,289220,코스닥,이촌회계법인,적정의견,
제노코,361390,코스닥,이촌회계법인,적정의견,
스피어,347700,코스닥,우리회계법인,적정의견,
SK바이오사이언스,302440,유가,한영회계법인,적정의견,
바이오다인,314930,코스닥,삼정회계법인,적정의견,
네오이뮨텍,950220,코스닥,삼일회계법인,적정의견,
화승알앤에이,378850,유가,도원회계법인,적정의견,
싸이버원,356890,코스닥,대현회계법인,적정의견,
프레스티지바이오로직스,334970,코스닥,삼도회계법인,적정의견,
나노씨엠에스,247660,코스닥,삼화회계법인,적정의견,
뷰노,338220,코스닥,정동회계법인,적정의견,
엑스플러스,373200,코스닥,삼화회계법인,적정의견,
성원에너텍,340930,코스닥,삼일회계법인,의견거절,
씨이랩,189330,코스닥,동성회계법인,적정의견,
오로스테크놀로지,322310,코스닥,한울회계법인,적정의견,
피엔에이치테크,239890,코스닥,동현회계법인,적정의견,
모비데이즈,363260,코스닥,대주회계법인,적정의견,
아이퀘스트,262840,코스닥,대주회계법인,적정의견,
프레스티지바이오파마,950210,유가,삼덕회계법인,적정의견,
레인보우로보틱스,277810,코스닥,대주회계법인,적정의견,
아티스트컴퍼니,321820,코스닥,이촌회계법인,적정의견,
솔루엠,248070,유가,삼덕회계법인,적정의견,
핑거,163730,코스닥,삼화회계법인,적정의견,
모비릭스,348030,코스닥,대주회계법인,적정의견,
씨앤투스,352700,코스닥,도원회계법인,적정의견,
선진뷰티사이언스,086710,코스닥,동현회계법인,적정의견,
DL이앤씨,375500,유가,한영회계법인,적정의견,
엔비티,236810,코스닥,현대회계법인,적정의견,
파이버프로,368770,코스닥,예지회계법인,적정의견,
ESR켄달스퀘어리츠,365550,유가,삼일회계법인,적정의견,
블리츠웨이엔터테인먼트,369370,코스닥,신우회계법인,적정의견,
석경에이티,357550,코스닥,대성삼경회계법인,,
지놈앤컴퍼니,314130,코스닥,태성회계법인,적정의견,
프리시젼바이오,335810,코스닥,삼덕회계법인,적정의견,
알체라,347860,코스닥,,,감사의견 절을 못 찾음
하이딥,365590,코스닥,삼화회계법인,적정의견,
에프앤가이드,064850,코스닥,신한회계법인,적정의견,
티엘비,356860,코스닥,삼덕회계법인,적정의견,
인바이오,352940,코스닥,삼덕회계법인,적정의견,
엔젠바이오,354200,코스닥,삼도회계법인,적정의견,
퀀타매트릭스,317690,코스닥,신한회계법인,적정의견,
명신산업,009900,유가,,,최근 2년 사업보고서 없음
셀레스트라,352770,코스닥,서우회계법인,의견거절,
포인트모바일,318020,코스닥,안진회계법인,적정의견,
앱코,129890,코스닥,삼덕회계법인,적정의견,
엔에프씨,265740,코스닥,태성회계법인,적정의견,
제일일렉트릭,199820,코스닥,선진회계법인,적정의견,
하나기술,299030,코스닥,삼일회계법인,적정의견,
에이플러스에셋,244920,유가,삼덕회계법인,적정의견,
티앤엘,340570,코스닥,대성삼경회계법인,적정의견,
고바이오랩,348150,코스닥,,,감사의견 절을 못 찾음
네패스아크,330860,코스닥,삼일회계법인,적정의견,
교촌에프앤비,339770,유가,대주회계법인,적정의견,
아리바이오홀딩스,290690,코스닥,한울회계법인,적정의견,
위드텍,348350,코스닥,이촌회계법인,적정의견,
센코,347000,코스닥,한울회계법인,적정의견,
바이브컴퍼니,301300,코스닥,삼화회계법인,적정의견,
롤링스톤,214610,코스닥,이촌회계법인,의견거절,
피플바이오,304840,코스닥,다산회계법인,적정의견,
하이브,352820,유가,,,최근 2년 사업보고서 없음
넥스틴,348210,코스닥,삼덕회계법인,적정의견,
케이엔솔,053080,코스닥,삼정회계법인,적정의견,
비나텍,126340,코스닥,삼도회계법인,적정의견,
씨엔알리서치,359090,코스닥,우리회계법인,적정의견,
박셀바이오,323990,코스닥,동현회계법인,적정의견,
박셀바이오,323990,코스닥,동현회계법인,적정의견,
티와이홀딩스,363280,유가,한영회계법인,적정의견,
비비씨,318410,코스닥,신우회계법인,적정의견,
코스텍시스,355150,코스닥,삼덕회계법인,적정의견,
핌스,347770,코스닥,태성회계법인,적정의견,
츌립앤사이언스,291650,코스닥,대주회계법인,적정의견,
이오플로우,294090,코스닥,한울회계법인,의견거절,
카카오게임즈,293490,코스닥,삼정회계법인,적정의견,
피엔케이피부임상연구센타,347740,코스닥,한영회계법인,적정의견,
코람코라이프인프라리츠,357120,유가,예지회계법인,적정의견,
아이디피,332370,코스닥,한울회계법인,적정의견,
셀레믹스,331920,코스닥,삼덕회계법인,적정의견,
고스트스튜디오,950190,코스닥,삼정회계법인,적정의견,
젝시믹스,337930,코스닥,삼정회계법인,적정의견,
영림원소프트랩,060850,코스닥,삼일회계법인,적정의견,
한국파마,032300,코스닥,신한회계법인,적정의견,
제이알글로벌리츠,348950,유가,한울회계법인,적정의견,
솔브레인,357780,코스닥,한영회계법인,적정의견,
미래에셋맵스리츠,357250,유가,한울회계법인,적정의견,
이지스레지던스리츠,350520,유가,정진세림회계법인,적정의견,
PS일렉트로닉스,332570,코스닥,성현회계법인,적정의견,
에코앤드림,101360,코스닥,서우회계법인,적정의견,
엠엑스온,347890,코스닥,동성회계법인,적정의견,
더네이쳐홀딩스,298540,코스닥,한영회계법인,적정의견,
제놀루션,225220,코스닥,대주회계법인,적정의견,
솔트룩스,304100,코스닥,대주회계법인,적정의견,
티에스아이,277880,코스닥,대주회계법인,적정의견,
에이프로,262260,코스닥,정인회계법인,적정의견,
이지스밸류플러스리츠,334890,유가,다산회계법인,적정의견,
소마젠,950200,코스닥,삼일회계법인,적정의견,
신도기연,290520,코스닥,성현회계법인,적정의견,
위더스제약,330350,코스닥,대현회계법인,적정의견,
에스케이바이오팜,326030,유가,한영회계법인,적정의견,
엠브레인,169330,코스닥,대주회계법인,적정의견,
젠큐릭스,229000,코스닥,태성회계법인,적정의견,
HB솔루션,297890,코스닥,삼정회계법인,적정의견,
넥사다이내믹스,351320,코스닥,이정회계법인,적정의견,
풍전약품,298060,코스닥,삼정회계법인,적정의견,
휴럼,353190,코스닥,이촌회계법인,적정의견,
이지바이오,353810,코스닥,이촌회계법인,적정의견,
드림씨아이에스,223250,코스닥,삼일회계법인,적정의견,
대덕전자,353200,유가,한영회계법인,적정의견,
캐프,198080,코스닥,정진세림회계법인,적정의견,
플레이디,237820,코스닥,삼정회계법인,적정의견,
서울바이오시스,092190,코스닥,삼일회계법인,적정의견,
제이앤티씨,204270,코스닥,삼정회계법인,적정의견,
켄코아에어로스페이스,274090,코스닥,삼덕회계법인,적정의견,
레몬,294140,코스닥,선일회계법인,적정의견,
서남,294630,코스닥,대주회계법인,적정의견,
위세아이텍,065370,코스닥,신한회계법인,적정의견,
케이씨씨글라스,344820,유가,안진회계법인,적정의견,
세림B&G,340440,코스닥,이촌회계법인,적정의견,
CJ 바이오사이언스,311690,코스닥,한영회계법인,적정의견,
한국첨단소재,062970,코스닥,선일회계법인,적정의견,
한국첨단소재,062970,코스닥,선일회계법인,적정의견,
RF머트리얼즈,327260,코스닥,삼일회계법인,적정의견,
아이비김영,339950,코스닥,삼정회계법인,적정의견,
파라택시스코리아,288330,코스닥,,,감사인 이름을 못 읽음
다보링크,340360,코스닥,삼덕회계법인,적정의견,
메드팩토,235980,코스닥,신한회계법인,적정의견,
원텍,336570,코스닥,이촌회계법인,적정의견,
신테카바이오,226330,코스닥,삼정회계법인,적정의견,
제이엘케이,322510,코스닥,삼정회계법인,적정의견,
태웅로직스,124560,코스닥,신한회계법인,적정의견,
윙스풋,335870,코스닥,삼덕회계법인,적정의견,
리메드,302550,코스닥,도원회계법인,적정의견,
NH프라임리츠,338100,유가,삼덕회계법인,적정의견,
웨이버스,336060,코스닥,대주회계법인,적정의견,
HLB바이오스텝,278650,코스닥,,,감사의견 절을 못 찾음
씨티알모빌리티,308170,유가,삼일회계법인,적정의견,
티움바이오,321550,코스닥,태성회계법인,적정의견,
씨에스베어링,297090,코스닥,신한회계법인,적정의견,
우양,103840,코스닥,정인회계법인,적정의견,
코리아에셋투자증권,190650,코스닥,삼덕회계법인,적정의견,
HD현대에너지솔루션,322000,유가,한영회계법인,적정의견,
에스제이그룹,306040,코스닥,삼일회계법인,적정의견,
제테마,216080,코스닥,삼덕회계법인,적정의견,
한화시스템,272210,유가,안진회계법인,적정의견,
라파스,214260,코스닥,이촌회계법인,적정의견,
아이티엠반도체,084850,코스닥,삼덕회계법인,적정의견,
일승,333430,코스닥,광교회계법인,적정의견,
자이에스앤디,317400,유가,삼일회계법인,적정의견,
미디어젠,279600,코스닥,태일회계법인,적정의견,
LS티라유텍,322180,코스닥,삼일회계법인,적정의견,
이노테나,333050,코스닥,선진회계법인,적정의견,
롯데리츠,330590,유가,삼정회계법인,적정의견,
지누스,013890,유가,삼정회계법인,적정의견,
밸로프,331520,코스닥,삼도회계법인,적정의견,
에피소드컴퍼니,317530,코스닥,광교회계법인,적정의견,
케이엔제이,272110,코스닥,이촌회계법인,적정의견,
엔바이오니아,317870,코스닥,삼화회계법인,적정의견,
팜스빌,318010,코스닥,대주회계법인,적정의견,
두산퓨얼셀,336260,유가,한영회계법인,적정의견,
라온피플,300120,코스닥,삼덕회계법인,적정의견,
솔루스첨단소재,336370,유가,한영회계법인,적정의견,
콘텐트리중앙,036420,유가,안진회계법인,적정의견,
아톤,158430,코스닥,대성삼경회계법인,적정의견,
녹십자웰빙,234690,코스닥,삼정회계법인,적정의견,
누보,332290,코스닥,서우회계법인,적정의견,
포커스에이아이,331380,코스닥,한영회계법인,적정의견,
올리패스,244460,코스닥,삼정회계법인,의견거절,
라닉스,317120,코스닥,삼일회계법인,적정의견,
한울반도체,320000,코스닥,삼일회계법인,적정의견,
한독크린텍,256150,코스닥,대주회계법인,적정의견,
네오크레마,311390,코스닥,삼일회계법인,적정의견,
마니커에프앤지,195500,코스닥,신우회계법인,적정의견,
솔트웨어,328380,코스닥,신한회계법인,적정의견,
나노실리칸첨단소재,286750,코스닥,대주회계법인,적정의견,
에스피시스템스,317830,코스닥,선일회계법인,적정의견,
레이,228670,코스닥,한울회계법인,적정의견,
그린플러스,186230,코스닥,우리회계법인,적정의견,
코윈테크,282880,코스닥,신우회계법인,적정의견,
덕산테코피아,317330,코스닥,태성회계법인,적정의견,
KBG,318000,코스닥,이정회계법인,적정의견,
엑스페릭스,317770,코스닥,삼일회계법인,적정의견,
세경하이테크,148150,코스닥,삼일회계법인,적정의견,
캐리,313760,코스닥,성현회계법인,의견거절,
대모,317850,코스닥,성현회계법인,적정의견,
에이스토리,241840,코스닥,이촌회계법인,적정의견,
플리토,300080,코스닥,현대회계법인,적정의견,
헥토파이낸셜,234340,코스닥,삼일회계법인,적정의견,
아이스크림에듀,289010,코스닥,대주회계법인,적정의견,
펌텍코리아,251970,코스닥,우리회계법인,적정의견,
에이에프더블류,312610,코스닥,삼덕회계법인,적정의견,
태성,323280,코스닥,대주회계법인,적정의견,
압타바이오,293780,코스닥,정진세림회계법인,적정의견,
형지글로벌,308100,코스닥,성현회계법인,적정의견,
마이크로디지탈,305090,코스닥,한울회계법인,적정의견,
코퍼스코리아,322780,코스닥,이촌회계법인,적정의견,
프로이천,321260,코스닥,동현회계법인,적정의견,
포스코퓨처엠,003670,유가,한영회계법인,적정의견,
수젠텍,253840,코스닥,한울회계법인,적정의견,
컴퍼니케이,307930,코스닥,대주회계법인,적정의견,
피에스케이,319660,코스닥,삼정회계법인,적정의견,
현대무벡스,319400,코스닥,삼일회계법인,적정의견,
TS트릴리온,317240,코스닥,현대회계법인,적정의견,
아모그린텍,125210,코스닥,서우회계법인,적정의견,
현대오토에버,307950,유가,삼일회계법인,적정의견,
지노믹트리,228760,코스닥,삼덕회계법인,적정의견,
이지케어텍,099750,코스닥,대주회계법인,적정의견,
미래에셋벤처투자,100790,코스닥,삼정회계법인,적정의견,
드림텍,192650,유가,,,최근 2년 사업보고서 없음
더블유게임즈,192080,유가,삼일회계법인,적정의견,
에코프로비엠,247540,코스닥,삼정회계법인,적정의견,
셀리드,299660,코스닥,삼정회계법인,적정의견,
우리금융지주,316140,유가,,,최근 2년 사업보고서 없음
천보,278280,코스닥,,,감사의견 절을 못 찾음
SCL사이언스,246960,코스닥,안진회계법인,적정의견,
노랑풍선,104620,코스닥,한울회계법인,적정의견,
웹케시,053580,코스닥,삼덕회계법인,적정의견,
에어부산,298690,유가,삼일회계법인,적정의견,
비피도,238200,코스닥,한울회계법인,적정의견,
유틸렉스,263050,코스닥,삼정회계법인,의견거절,
디케이티,290550,코스닥,삼덕회계법인,적정의견,
아이엘,307180,코스닥,삼정회계법인,적정의견,
애니플러스,310200,코스닥,신우회계법인,적정의견,
디와이씨,310870,코스닥,예일회계법인,적정의견,
조이웍스앤코,309930,코스닥,한영회계법인,적정의견,
국전,307750,코스닥,서우회계법인,적정의견,
에이비엘바이오,298380,코스닥,삼정회계법인,적정의견,
머큐리,100590,코스닥,삼덕회계법인,적정의견,
전진바이오팜,110020,코스닥,동성회계법인,적정의견,
뉴트리,270870,코스닥,안진회계법인,적정의견,
비투엔,307870,코스닥,태성회계법인,적정의견,
이노메트리,302430,코스닥,우리회계법인,적정의견,
DH오토리드,290120,코스닥,서현회계법인,적정의견,
에코캡,128540,코스닥,삼덕회계법인,적정의견,
원바이오젠,307280,코스닥,정진세림회계법인,적정의견,
윙입푸드,900340,코스닥,신한회계법인,적정의견,
남화산업,111710,코스닥,선일회계법인,적정의견,
남화산업,111710,코스닥,선일회계법인,적정의견,
엠아이텍,179290,코스닥,한영회계법인,적정의견,
티로보틱스,117730,코스닥,정인회계법인,적정의견,
다이나믹솔루션,290660,코스닥,한울회계법인,적정의견,
티앤알바이오팹,246710,코스닥,,,감사의견 절을 못 찾음
아시아나IDT,267850,유가,삼일회계법인,적정의견,
디알젬,263690,코스닥,삼화회계법인,적정의견,
싸이토젠,217330,코스닥,이촌회계법인,적정의견,
아주IB투자,027360,코스닥,삼덕회계법인,적정의견,
디케이앤디,263020,코스닥,대주회계법인,적정의견,
노바렉스,194700,코스닥,삼일회계법인,적정의견,
대보마그네틱,290670,코스닥,삼일회계법인,적정의견,
노바텍,285490,코스닥,이촌회계법인,적정의견,
엘앤씨바이오,290650,코스닥,한울회계법인,적정의견,
지아이에스,306620,코스닥,성현회계법인,적정의견,
로보티즈,108490,코스닥,대주회계법인,적정의견,
옵티팜,153710,코스닥,광교회계법인,적정의견,
에스프리즘,288620,코스닥,대주회계법인,적정의견,
세아제강,306200,유가,삼정회계법인,적정의견,
나우IB,293580,코스닥,대주회계법인,적정의견,
푸드나무,290720,코스닥,,,감사의견 절을 못 찾음
하나제약,293480,유가,대성삼경회계법인,적정의견,
크리스에프앤씨,110790,코스닥,리안회계법인,적정의견,
더블유에스아이,299170,코스닥,우리회계법인,적정의견,
한국비티비,219750,코스닥,한영회계법인,적정의견,
우진아이엔에스,010400,유가,신우회계법인,적정의견,
컴투스엔,291230,코스닥,삼정회계법인,적정의견,
피엔티엠에스,257370,코스닥,대성삼경회계법인,적정의견,
디지캡,197140,코스닥,안진회계법인,적정의견,
지니틱스,303030,코스닥,서현회계법인,적정의견,
액트로,290740,코스닥,대주회계법인,적정의견,
오파스넷,173130,코스닥,우리회계법인,적정의견,
브이엠,089970,코스닥,한울회계법인,적정의견,
바이오솔루션,086820,코스닥,리안회계법인,적정의견,
신한알파리츠,293940,유가,대주회계법인,적정의견,
디아이티,110990,코스닥,삼일회계법인,적정의견,
에스에스알,275630,코스닥,안진회계법인,적정의견,
한일시멘트,300720,유가,삼정회계법인,적정의견,
휴네시온,290270,코스닥,삼도회계법인,적정의견,
트리니티항공,091810,유가,삼일회계법인,적정의견,
롯데이노베이트,286940,유가,안진회계법인,적정의견,
한국유니온제약,080720,코스닥,대성회계법인,의견거절,
그리티,204020,코스닥,삼화회계법인,적정의견,
아틀라스링크,297570,코스닥,한미회계법인,적정의견,
올릭스,226950,코스닥,대주회계법인,적정의견,
HS효성첨단소재,298050,유가,삼일회계법인,적정의견,
효성중공업,298040,유가,한영회계법인,적정의견,
효성티앤씨,298020,유가,삼일회계법인,적정의견,
효성화학,298000,유가,삼일회계법인,적정의견,
아이큐어,175250,코스닥,삼덕회계법인,적정의견,
SV인베스트먼트,289080,코스닥,한울회계법인,적정의견,
이리츠코크렙,088260,유가,신한회계법인,적정의견,
EDGC,245620,코스닥,한영회계법인,적정의견,
IPARK현대산업개발,294870,유가,삼일회계법인,적정의견,
카이노스메드,284620,코스닥,삼덕회계법인,의견거절,
파워넷,037030,코스닥,정진세림회계법인,적정의견,
현대사료,016790,코스닥,삼일회계법인,적정의견,
세종메디칼,258830,코스닥,현대회계법인,적정의견,
제노레이,122310,코스닥,신한회계법인,적정의견,
JTC,950170,코스닥,삼정회계법인,적정의견,
네오셈,253590,코스닥,태성회계법인,적정의견,
케어랩스,263700,코스닥,한울회계법인,적정의견,
애경산업,018250,유가,안진회계법인,적정의견,
린드먼아시아,277070,코스닥,이정회계법인,적정의견,
오스테오닉,226400,코스닥,삼덕회계법인,적정의견,
엔지켐생명과학,183490,코스닥,대주회계법인,의견거절,
동구바이오제약,006620,코스닥,한영회계법인,적정의견,
아시아종묘,154030,코스닥,삼덕회계법인,적정의견,
알리코제약,260660,코스닥,삼일회계법인,적정의견,
셀트리온,068270,유가,,,최근 2년 사업보고서 없음
카페24,042000,코스닥,태일회계법인,적정의견,
링크제니시스,219420,코스닥,대주회계법인,적정의견,
배럴,267790,코스닥,삼일회계법인,적정의견,
SG,255220,코스닥,삼일회계법인,적정의견,
씨앤지하이테크,264660,코스닥,태성회계법인,적정의견,
쿠쿠홈시스,284740,유가,,,최근 2년 사업보고서 없음
SK케미칼,285130,유가,한영회계법인,적정의견,
디바이스,187870,코스닥,우리회계법인,적정의견,
레이크머티리얼즈,281740,코스닥,다산회계법인,적정의견,
BGF리테일,282330,유가,삼정회계법인,적정의견,
DYP,092780,유가,신한회계법인,적정의견,
진에어,272450,유가,안진회계법인,적정의견,
씨티케이,260930,코스닥,한영회계법인,적정의견,
메카로,241770,코스닥,한울회계법인,적정의견,
에스트래픽,234300,코스닥,삼덕회계법인,적정의견,
케이씨텍,281820,유가,,,최근 2년 사업보고서 없음
체리부로,066360,코스닥,삼정회계법인,적정의견,
대원,007680,코스닥,신한회계법인,,
삼양패키징,272550,유가,삼일회계법인,적정의견,
스튜디오드래곤,253450,코스닥,삼정회계법인,적정의견,
코오롱티슈진,950160,코스닥,서현회계법인,적정의견,
테이팩스,055490,유가,삼일회계법인,적정의견,
롯데웰푸드,280360,유가,삼일회계법인,적정의견,
영화테크,265560,코스닥,신한회계법인,적정의견,
폴라리스세원,234100,코스닥,도원회계법인,적정의견,
상신전자,263810,코스닥,삼일회계법인,적정의견,
야스,255440,코스닥,대주회계법인,적정의견,
인산가,277410,코스닥,이촌회계법인,적정의견,
휴엠앤씨,263920,코스닥,삼일회계법인,적정의견,
신흥에스이씨,243840,코스닥,삼정회계법인,적정의견,
유티아이,179900,코스닥,예일회계법인,적정의견,
선익시스템,171090,코스닥,삼정회계법인,적정의견,
엠플러스,259630,코스닥,대주회계법인,적정의견,
앱클론,174900,코스닥,한영회계법인,적정의견,
펄어비스,263750,코스닥,삼일회계법인,적정의견,
킵스파마,256940,코스닥,삼일회계법인,적정의견,
덕우전자,263600,코스닥,신한회계법인,적정의견,
앱튼,270520,코스닥,신한회계법인,적정의견,
케일럼,258610,코스닥,한울회계법인,적정의견,
알에스오토메이션,140670,코스닥,인덕회계법인,적정의견,
컬러레이,900310,코스닥,이촌회계법인,적정의견,
와이즈버즈,273060,코스닥,한영회계법인,적정의견,
모트렉스,118990,코스닥,대주회계법인,적정의견,
데이타솔루션,263800,코스닥,삼일회계법인,적정의견,
지니언스,263860,코스닥,,,감사의견 절을 못 찾음
디앤씨미디어,263720,코스닥,삼도회계법인,적정의견,
힘스,238490,코스닥,다산회계법인,적정의견,
제일약품,271980,유가,대주회계법인,적정의견,
브이원텍,251630,코스닥,대주회계법인,적정의견,
아우딘퓨쳐스,227610,코스닥,대성삼경회계법인,적정의견,
이녹스첨단소재,272290,코스닥,성현회계법인,적정의견,
카카오,035720,유가,,,최근 2년 사업보고서 없음
오리온,271560,유가,,,최근 2년 사업보고서 없음
하림지주,003380,코스닥,삼일회계법인,적정의견,
덴티스,261200,코스닥,이촌회계법인,적정의견,
나인테크,267320,코스닥,삼화회계법인,적정의견,
보라티알,250000,코스닥,정진세림회계법인,적정의견,
매일유업,267980,코스닥,삼일회계법인,적정의견,
LK삼양,225190,코스닥,삼정회계법인,적정의견,
이랜시스,264850,코스닥,삼덕회계법인,적정의견,
필옵틱스,161580,코스닥,한울회계법인,적정의견,
미원에스씨,268280,유가,다산회계법인,적정의견,
경동도시가스,267290,유가,삼일회계법인,적정의견,
넷마블,251270,유가,,,최근 2년 사업보고서 없음
HD건설기계,267270,유가,한영회계법인,적정의견,
HD현대,267250,유가,한영회계법인,적정의견,
HD현대일렉트릭,267260,유가,한영회계법인,적정의견,
포인트엔지니어링,256630,코스닥,우리회계법인,적정의견,
하나머티리얼즈,166090,코스닥,대주회계법인,적정의견,
소프트캠프,258790,코스닥,우리회계법인,적정의견,
와이엠티,251370,코스닥,,,감사의견 절을 못 찾음
크라운제과,264900,유가,안진회계법인,적정의견,
AP시스템,265520,코스닥,삼일회계법인,적정의견,
유에스티,263770,코스닥,신한회계법인,적정의견,
이엘피,063760,코스닥,정인회계법인,적정의견,
유비쿼스,264450,코스닥,삼덕회계법인,적정의견,
서진시스템,178320,코스닥,이정회계법인,적정의견,
코미코,183300,코스닥,삼일회계법인,적정의견,
아스타,246720,코스닥,안진회계법인,의견거절,
덴티움,145720,유가,삼덕회계법인,적정의견,
에스디생명공학,217480,코스닥,안진회계법인,적정의견,
신신제약,002800,코스닥,신한회계법인,적정의견,
에프엔에스테크,083500,코스닥,삼정회계법인,적정의견,
모바일어플라이언스,087260,코스닥,대주회계법인,적정의견,
피씨엘,241820,코스닥,,,최근 2년 사업보고서 없음
호전실업,111110,유가,동현회계법인,적정의견,
서플러스글로벌,140070,코스닥,대주회계법인,적정의견,
유바이오로직스,206650,코스닥,삼일회계법인,적정의견,
한국비엔씨,256840,코스닥,정진세림회계법인,적정의견,
