회사명,종목코드,시장,감사인,감사의견,비고
대한조선,439260,유가,,,최근 2년 사업보고서 없음
프로티나,468530,코스닥,삼일회계법인,적정의견,
엔알비,475230,코스닥,삼정회계법인,적정의견,
뉴로핏,380550,코스닥,대현회계법인,적정의견,
도우인시스,484120,코스닥,삼정회계법인,적정의견,
디비금융제14호스팩,0004Y0,코스닥,인덕회계법인,적정의견,
엘에스스팩1호,0041J0,코스닥,네트워크회계법인,적정의견,
아우토크립트,331740,코스닥,삼정회계법인,적정의견,
대신밸류리츠,0030R0,유가,삼일회계법인,적정의견,
뉴키즈온,462310,코스닥,한영회계법인,적정의견,
싸이닉솔루션,234030,코스닥,삼화회계법인,적정의견,
KB제32호스팩,0037T0,코스닥,한울회계법인,적정의견,
뉴엔AI,463020,코스닥,이촌회계법인,적정의견,
지에프씨생명과학,388610,코스닥,,,감사의견 절을 못 찾음
케이지에이,455180,코스닥,삼일회계법인,적정의견,
지씨지놈,340450,코스닥,삼도회계법인,적정의견,
링크솔루션,474650,코스닥,다산회계법인,적정의견,
키스트론,475430,코스닥,한영회계법인,적정의견,
신한제16호스팩,496070,코스닥,한미회계법인,적정의견,
인투셀,287840,코스닥,한영회계법인,적정의견,
달바글로벌,483650,유가,한영회계법인,적정의견,
바이오비쥬,489460,코스닥,대주회계법인,적정의견,
이뮨온시아,424870,코스닥,삼일회계법인,적정의견,
바이오포트,188040,코스닥,한영회계법인,적정의견,
티씨머티리얼즈,125020,코스닥,대주회계법인,적정의견,
로킷헬스케어,376900,코스닥,안진회계법인,적정의견,
오가노이드사이언스,476040,코스닥,삼일회계법인,적정의견,
원일티엔아이,136150,코스닥,삼화회계법인,적정의견,
나우로보틱스,459510,코스닥,삼덕회계법인,적정의견,
에이아이코리아,364950,코스닥,정인회계법인,,
쎄크,081180,코스닥,안진회계법인,적정의견,
한국피아이엠,448900,코스닥,대주회계법인,적정의견,
에이유브랜즈,481070,코스닥,한성회계법인,적정의견,
우양에이치씨,101970,코스닥,삼일회계법인,적정의견,
더즌,462860,코스닥,삼정회계법인,적정의견,
심플랫폼,444530,코스닥,삼일회계법인,적정의견,
티엑스알로보틱스,484810,코스닥,삼정회계법인,적정의견,
한텍,098070,코스닥,삼덕회계법인,적정의견,
한화플러스제5호스팩,498390,코스닥,도원회계법인,적정의견,
씨케이솔루션,480370,유가,인덕회계법인,적정의견,
서울보증보험,031210,유가,삼일회계법인,적정의견,
에스엠씨지,460870,코스닥,다산회계법인,적정의견,
엠디바이스,226590,코스닥,삼덕회계법인,적정의견,
대진첨단소재,393970,코스닥,태성회계법인,의견거절,
에르코스,435570,코스닥,삼덕회계법인,적정의견,
엘케이켐,489500,코스닥,한울회계법인,적정의견,
위너스일렉,479960,코스닥,삼일회계법인,적정의견,
모티브링크,463480,코스닥,대성삼경회계법인,적정의견,
동국생명과학,303810,코스닥,삼덕회계법인,적정의견,
오름테라퓨틱,475830,코스닥,성현회계법인,적정의견,
동방메디컬,240550,코스닥,대성회계법인,적정의견,
아이에스티이,212710,코스닥,삼덕회계법인,적정의견,
LG씨엔에스,064400,유가,삼일회계법인,적정의견,
아이지넷,462980,코스닥,우리회계법인,적정의견,
피아이이,452450,코스닥,삼덕회계법인,적정의견,
삼양엔씨켐,482630,코스닥,,,감사의견 절을 못 찾음
데이원컴퍼니,373160,코스닥,삼정회계법인,적정의견,
아스테라시스,450950,코스닥,,,감사의견 절을 못 찾음
와이즈넛,096250,코스닥,신한회계법인,적정의견,
미트박스,475460,코스닥,삼일회계법인,적정의견,
유안타제17호스팩,493790,코스닥,한길회계법인,적정의견,
블랙야크아이앤씨,478560,코스닥,삼정회계법인,적정의견,
엠에프씨,432980,코스닥,한미회계법인,적정의견,
파인메딕스,387570,코스닥,동현회계법인,적정의견,
쓰리에이로직스,177900,코스닥,삼덕회계법인,적정의견,
GS피앤엘,499790,유가,삼정회계법인,적정의견,
신한제14호스팩,487360,코스닥,성현회계법인,적정의견,
듀켐바이오,176750,코스닥,삼정회계법인,적정의견,
키움제10호스팩,487720,코스닥,동성회계법인,적정의견,
에스지헬스케어,398120,코스닥,태일회계법인,적정의견,
온코닉테라퓨틱스,476060,코스닥,한영회계법인,적정의견,
온코크로스,382150,코스닥,대주회계법인,적정의견,
벡트,457600,코스닥,신우회계법인,적정의견,
엠앤씨솔루션,484870,유가,한영회계법인,적정의견,
셀로맥스사이언스,471820,코스닥,삼일회계법인,적정의견,
KB제31호스팩,492220,코스닥,이촌회계법인,적정의견,
키움제11호스팩,489480,코스닥,삼도회계법인,적정의견,
KB발해인프라,415640,유가,,,최근 2년 사업보고서 없음
디비금융제13호스팩,489730,코스닥,인덕회계법인,적정의견,
교보17호스팩,489210,코스닥,대주회계법인,적정의견,
대신밸런스제19호스팩,482690,코스닥,삼화회계법인,적정의견,
위츠,459100,코스닥,대성삼경회계법인,적정의견,
유디엠텍,389680,코스닥,삼덕회계법인,적정의견,
RF시스템즈,474610,코스닥,한영회계법인,적정의견,
사이냅소프트,466410,코스닥,정진세림회계법인,적정의견,
하나34호스팩,484130,코스닥,삼도회계법인,적정의견,
에스켐,475660,코스닥,대성삼경회계법인,적정의견,
엠오티,413390,코스닥,한울회계법인,적정의견,
신한제15호스팩,487830,코스닥,한미회계법인,적정의견,
쓰리빌리언,394800,코스닥,삼일회계법인,적정의견,
닷밀,464580,코스닥,삼덕회계법인,적정의견,
노머스,473980,코스닥,삼덕회계법인,적정의견,
에어레인,163280,코스닥,대주회계법인,적정의견,
토모큐브,475960,코스닥,삼덕회계법인,적정의견,
더본코리아,475560,유가,삼일회계법인,적정의견,
HEM파마,376270,코스닥,대주회계법인,적정의견,
에이럭스,475580,코스닥,한울회계법인,적정의견,
탑런토탈솔루션,336680,코스닥,우리회계법인,적정의견,
성우,458650,코스닥,삼일회계법인,적정의견,
유진스팩11호,488060,코스닥,,,감사의견 절을 못 찾음
클로봇,466100,코스닥,삼도회계법인,적정의견,
에이치엔에스하이텍,044990,코스닥,삼덕회계법인,적정의견,
웨이비스,289930,코스닥,한미회계법인,적정의견,
씨메스로보틱스,475400,코스닥,태성회계법인,적정의견,
한켐,457370,코스닥,삼덕회계법인,적정의견,
루미르,474170,코스닥,삼일회계법인,적정의견,
와이제이링크,209640,코스닥,선진회계법인,적정의견,
인스피언,465480,코스닥,삼일회계법인,적정의견,
셀비온,308430,코스닥,정동회계법인,적정의견,
제닉스로보틱스,381620,코스닥,이정회계법인,,
차이커뮤니케이션,351870,코스닥,우리회계법인,적정의견,
한화비전,489790,유가,,,최근 2년 사업보고서 없음
KB제30호스팩,486630,코스닥,이촌회계법인,적정의견,
아이언디바이스,464500,코스닥,대주회계법인,적정의견,
미래에셋비전스팩7호,482680,코스닥,신우회계법인,적정의견,
아이비젼웍스,469750,코스닥,대주회계법인,적정의견,
아이스크림미디어,461300,코스닥,이정회계법인,적정의견,
이엔셀,456070,코스닥,삼일회계법인,적정의견,
M83,476080,코스닥,신한회계법인,적정의견,
티디에스팜,464280,코스닥,삼덕회계법인,적정의견,
넥스트바이오메디컬,389650,코스닥,대주회계법인,적정의견,
케이쓰리아이,431190,코스닥,이정회계법인,적정의견,
전진건설로봇,079900,유가,삼일회계법인,적정의견,
유라클,088340,코스닥,신한회계법인,적정의견,
교보16호스팩,482520,코스닥,한울회계법인,적정의견,
뱅크웨어글로벌,199480,코스닥,삼덕회계법인,적정의견,
아이빔테크놀로지,460470,코스닥,삼도회계법인,적정의견,
피앤에스로보틱스,460940,코스닥,인덕회계법인,적정의견,
HS효성,487570,유가,삼일회계법인,적정의견,
산일전기,062040,유가,삼일회계법인,적정의견,
엔에이치스팩31호,481890,코스닥,한미회계법인,적정의견,
SK증권제13호스팩,473950,코스닥,삼덕회계법인,적정의견,
엑셀세라퓨틱스,373110,코스닥,삼정회계법인,적정의견,
이베스트스팩6호,478110,코스닥,이촌회계법인,적정의견,
시프트업,462870,유가,한영회계법인,적정의견,
하스,450330,코스닥,대주회계법인,적정의견,
이노스페이스,462350,코스닥,삼일회계법인,적정의견,
신한글로벌액티브리츠,481850,유가,신우회계법인,적정의견,
에이치브이엠,295310,코스닥,동현회계법인,적정의견,
하이젠알앤엠,160190,코스닥,리안회계법인,적정의견,
한국제15호스팩,479880,코스닥,예일회계법인,적정의견,
에스오에스랩,464080,코스닥,서우회계법인,적정의견,
에스오에스랩,464080,코스닥,서우회계법인,적정의견,
미래에셋비전스팩6호,478440,코스닥,신우회계법인,적정의견,
에이치엠씨제7호스팩,477340,코스닥,삼도회계법인,적정의견,
파라다이스,034230,유가,삼덕회계법인,적정의견,
한중엔시에스,107640,코스닥,선진회계법인,적정의견,
