법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
한길회계법인,,2022.03,150.73,71.66,53.45,20.45,5.18,47.54,35.46,13.57,3.44,52,1,38,"서울시 강남구 선릉로 514(삼성동,성원타워) 13층",X,김도영,김도영,,딜자문은 사업보고서상 '경영자문' 기준
한길회계법인,,2023.03,180.98,92.79,55.6,22.32,10.26,51.27,30.72,12.33,5.67,57,0,39,"서울특별시 강남구 선릉로 514(삼성동,성원타워) 13층",X,최지광,최지광,,딜자문은 사업보고서상 '경영자문' 기준
한길회계법인,,2024.03,182.92,83.45,54.69,34.88,9.89,45.62,29.9,19.07,5.41,62,1,46,"서울특별시 강남구 선릉로 514(삼성동,성원타워) 13층",X,최지광,최지광,,딜자문은 사업보고서상 '경영자문' 기준
한길회계법인,,2025.03,177.42,73.52,62.04,33.87,7.99,41.44,34.97,19.09,4.5,65,1,48,"서울특별시 강남구 선릉로 514(삼성동,성원타워) 13층",X,최지광,최지광,,딜자문은 사업보고서상 '경영자문' 기준
한길회계법인,,2026.03,183.85,78.34,62.42,36.68,6.41,42.61,33.95,19.95,3.49,66,5,48,"서울특별시 강남구 선릉로 514(삼성동,성원타워) 13층",X,최지광,최지광,,딜자문은 사업보고서상 '경영자문' 기준
