법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
선우회계법인,,2022.03,101.16,11.64,77.77,2.06,9.69,11.51,76.88,2.03,9.58,11,0,11,"충청북도 청주시 흥덕구2순환로 1167번길 4(복대동,호인리더스빌딩 5층)",X,박현,박현,,딜자문은 사업보고서상 '경영자문' 기준
선우회계법인,,2023.03,112.65,12.75,87.15,1.59,11.16,11.32,77.36,1.41,9.91,11,0,11,"충청북도 청주시 흥덕구2순환로 1167번길 4(복대동,호인리더스빌딩 5층)",X,박현,박현,,딜자문은 사업보고서상 '경영자문' 기준
선우회계법인,,2024.03,119.24,13.15,89.84,1.98,14.26,11.03,75.35,1.66,11.96,11,0,11,"충청북도 청주시 흥덕구2순환로 1167번길 4(복대동,호인리더스빌딩 5층)",X,박현,박현,,딜자문은 사업보고서상 '경영자문' 기준
선우회계법인,,2025.03,124.12,13.71,94.73,3.93,11.75,11.05,76.32,3.16,9.47,11,0,11,"충청북도 청주시 흥덕구2순환로 1167번길 4(복대동,호인리더스빌딩 5층)",X,박현,박현,,딜자문은 사업보고서상 '경영자문' 기준
선우회계법인,,2026.03,125.31,13.59,97.2,1.82,12.7,10.85,77.57,1.45,10.13,11,0,11,"충청북도 청주시 흥덕구2순환로 1167번길 4(복대동,호인리더스빌딩 5층)",X,박현,박현,,딜자문은 사업보고서상 '경영자문' 기준
