법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
대영회계법인,,2022.03,108.18,33.55,35.6,39.04,0.0,31.01,32.9,36.09,0.0,23,0,18,"서울시 강남구 테헤란로14길 16, 4층(역삼동, 라인빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
대영회계법인,,2023.03,130.44,37.09,46.97,46.38,0.0,28.43,36.01,35.56,0.0,25,0,18,"서울시 강남구 테헤란로14길 16, 4층(역삼동, 라인빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
대영회계법인,,2024.03,129.11,46.46,49.85,31.77,1.04,35.98,38.61,24.61,0.8,25,0,18,"서울시 강남구 테헤란로14길 16, 4층(역삼동, 라인빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
대영회계법인,,2025.03,122.91,37.8,55.52,29.53,0.07,30.75,45.17,24.02,0.06,27,0,20,"서울시 강남구 테헤란로14길 16, 4층(역삼동, 라인빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
대영회계법인,,2026.03,119.89,31.32,55.53,22.78,10.25,26.13,46.32,19.0,8.55,28,0,20,"서울시 강남구 테헤란로14길 16, 4층(역삼동, 라인빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
