법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
한미회계법인,,2022.03,286.06,85.9,77.22,104.67,18.26,30.03,27.0,36.59,6.38,81,3,30,"서울특별시 강남구 테헤란로77길 13, 3층,4층,5층,6층,7층,11층(삼성동, 창조빌딩)",X,신기동 대표이사,신기동 대표이사,,딜자문은 사업보고서상 '경영자문' 기준
한미회계법인,,2023.03,332.74,107.79,120.92,101.89,2.14,32.39,36.34,30.62,0.64,91,0,32,"서울특별시 강남구 테헤란로77길 13, 3층,4층,5층,6층,7층,11층(삼성동, 창조빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
한미회계법인,Kingdom,2024.03,330.41,123.66,108.62,94.51,3.63,37.42,32.87,28.6,1.1,93,0,33,"서울(분실)  강남구 영동대로 616,",X,,,,딜자문은 사업보고서상 '경영자문' 기준
한미회계법인,Kingdom,2025.03,312.03,122.72,96.08,89.06,4.17,39.33,30.79,28.54,1.34,96,2,35,"서울특별시 강남구 테헤란로77길 13, 3층,4층,5층,6층,7층,11층(삼성동, 창조빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
한미회계법인,Kingdom,2026.03,306.31,129.46,90.44,82.12,4.3,42.26,29.52,26.81,1.4,104,6,35,"서울특별시 강남구 테헤란로77길 13, 3층,4층,5층,6층,7층,11층(삼성동, 창조빌딩)",X,정우진,정우진,,딜자문은 사업보고서상 '경영자문' 기준
