법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
성연회계법인,,2024.03,16.01,0.28,8.33,7.4,0.0,1.76,52.03,46.21,0.0,9,0,3,"서울특별시 성동구 무학로8-3, 2층(도선동)",X,박현정,박현정,,딜자문은 사업보고서상 '경영자문' 기준
성연회계법인,,2025.03,13.64,0.43,5.99,7.23,0.0,3.14,43.88,52.98,0.0,7,2,3,"서울특별시 성동구 무학로8-3, 2층(도선동)",X,박현정,박현정,,딜자문은 사업보고서상 '경영자문' 기준
성연회계법인,,2026.03,16.38,0.03,8.38,7.97,0.0,0.2,51.14,48.66,0.0,7,1,3,"서울특별시 성동구 무학로8-3, 2층(도선동)",X,박현정,박현정,,딜자문은 사업보고서상 '경영자문' 기준
