법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
가립회계법인,www.,2022.03,26.63,5.19,9.23,12.21,0.0,19.48,34.67,45.85,0.0,12,0,6,"서울시 강남구 언주로103길 7, 5층",X,,,,딜자문은 사업보고서상 '경영자문' 기준
가립회계법인,www.,2023.03,28.55,8.8,9.58,10.17,0.0,30.84,33.54,35.62,0.0,13,0,6,"서울시 강남구 언주로103길 7, 5층",X,,,,딜자문은 사업보고서상 '경영자문' 기준
가립회계법인,www.,2024.03,29.79,5.65,8.83,6.75,8.56,18.98,29.65,22.64,28.73,13,0,6,"서울시 강남구 언주로103길 7, 5층",X,,,,딜자문은 사업보고서상 '경영자문' 기준
가립회계법인,,2025.03,29.65,5.73,9.37,8.67,5.88,19.33,31.6,29.24,19.84,15,1,6,대구광역시 중구 동덕로 61 선모빌딩 3층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
가립회계법인,,2026.03,28.98,5.8,7.98,6.27,8.93,20.0,27.55,21.63,30.82,12,0,5,"대구광역시 중구 명덕로 315, 5층(대봉동, 이경빌딩)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
