법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
신성회계법인,,2022.03,51.32,17.67,29.11,1.81,2.72,34.43,56.73,3.53,5.31,12,1,12,서울시 서초구 효령로 353 동인빌딩 2~3층(서초동),X,조남석,조남석,,딜자문은 사업보고서상 '경영자문' 기준
신성회계법인,,2023.03,51.31,18.0,28.41,2.26,2.64,35.08,55.36,4.41,5.15,13,0,12,서울시 서초구 효령로 353 동인빌딩 2~3층(서초동),X,조남석,조남석,,딜자문은 사업보고서상 '경영자문' 기준
신성회계법인,,2025.03,54.82,18.26,31.59,2.04,2.93,33.3,57.62,3.73,5.35,13,0,12,서울시 서초구 효령로 353 동인빌딩 2~3층(서초동),X,조남석,조남석,,딜자문은 사업보고서상 '경영자문' 기준
신성회계법인,,2026.03,53.51,19.22,31.7,0.84,1.75,35.92,59.25,1.57,3.26,14,1,13,서울시 서초구 효령로 353 동인빌딩 2~3층(서초동),X,조남석,조남석,,딜자문은 사업보고서상 '경영자문' 기준
