법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
서율회계법인,,2022.03,77.07,9.25,39.77,26.9,1.15,12.0,51.6,34.9,1.49,16,0,8,"서울특별시 서초구 반포대로20길 27, 2층 (서초동, 서궁빌딩)",X,홍원표,홍원표,,딜자문은 사업보고서상 '경영자문' 기준
서율회계법인,,2023.03,75.78,11.63,40.72,21.69,1.74,15.35,53.73,28.62,2.3,16,1,8,"서울특별시 송파구 오금로111, 4층(방이동, 세기빌딩)",X,홍원표,홍원표,,딜자문은 사업보고서상 '경영자문' 기준
서율회계법인,,2024.03,63.46,8.5,32.39,21.68,0.88,13.39,51.04,34.16,1.39,15,0,6,"서울특별시 송파구 오금로111, 4층(방이동, 세기빌딩)",X,홍원표,홍원표,,딜자문은 사업보고서상 '경영자문' 기준
서율회계법인,,2025.03,86.56,7.3,39.82,34.94,4.49,8.43,46.0,40.37,5.19,22,0,9,"서울특별시 송파구 오금로111, 4층(방이동, 세기빌딩)",X,홍원표,홍원표,,딜자문은 사업보고서상 '경영자문' 기준
서율회계법인,,2026.03,108.36,7.86,49.55,43.98,6.97,7.25,45.73,40.59,6.43,23,0,9,"서울특별시 송파구 오금로111, 4층(방이동, 세기빌딩)",X,홍원표,홍원표,,딜자문은 사업보고서상 '경영자문' 기준
