법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
늘봄회계법인,,2023.03,8.48,1.38,0.06,0.0,7.04,16.24,0.68,0.0,83.07,10,0,6,서울특별시 영등포구 국회대로70길 18 (한양빌딩 7층),X,최경석,최경석,,딜자문은 사업보고서상 '경영자문' 기준
늘봄회계법인,,2024.03,10.24,1.2,0.54,0.0,8.5,11.74,5.26,0.0,83.0,10,0,6,서울특별시 영등포구 국회대로70길 18 (한양빌딩 7층),X,최경석,최경석,,딜자문은 사업보고서상 '경영자문' 기준
늘봄회계법인,,2025.03,14.42,1.57,4.26,0.0,8.6,10.87,29.53,0.0,59.61,10,0,7,서울특별시 영등포구 국회대로70길 18 (한양빌딩 7층),X,최경석,최경석,,딜자문은 사업보고서상 '경영자문' 기준
늘봄회계법인,,2026.03,14.69,1.79,4.53,0.0,8.37,12.19,30.82,0.0,56.99,9,0,7,서울특별시 영등포구 국회대로70길 18 (한양빌딩 7층),X,최경석,최경석,,딜자문은 사업보고서상 '경영자문' 기준
