법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
예지회계법인,,2022.03,232.11,86.99,68.94,1.84,74.34,37.48,29.7,0.79,32.03,69,2,18,"서울특별시 강남구 강남대로 334 (역삼동, 에셈타워)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
예지회계법인,,2023.03,200.15,98.5,44.0,0.92,56.74,49.21,21.98,0.46,28.35,57,0,15,"서울특별시 강남구 강남대로 334 (역삼동, 에셈타워)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
예지회계법인,,2024.03,193.59,94.64,35.74,0.79,62.42,48.89,18.46,0.41,32.24,56,2,16,"서울특별시 강남구 강남대로 334 (역삼동, 에셈타워)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
예지회계법인,,2025.03,182.15,77.49,27.49,1.47,75.7,42.54,15.1,0.81,41.56,58,2,17,"서울특별시 강남구 강남대로 334 (역삼동, 에셈타워)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
예지회계법인,,2026.03,202.25,81.73,29.78,0.37,90.37,40.41,14.72,0.18,44.68,60,5,17,"서울특별시 강남구 강남대로 334 (역삼동, 에셈타워)",X,,,,딜자문은 사업보고서상 '경영자문' 기준
