법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
우영회계법인,,2022.03,41.64,4.98,13.8,0.36,22.51,11.95,33.13,0.87,54.05,12,0,9,"서울특별시 강남구 봉은사로 207, 6층 (논현동, 케이제이빌딩)",X,이병주,이병주,,딜자문은 사업보고서상 '경영자문' 기준
우영회계법인,,2023.03,40.16,6.32,16.9,0.7,16.25,15.73,42.07,1.75,40.45,12,0,10,"서울특별시 강남구 봉은사로 207, 6층 (논현동, 케이제이빌딩)",X,이병주,이병주,,딜자문은 사업보고서상 '경영자문' 기준
우영회계법인,,2025.03,63.52,9.86,29.24,1.16,23.25,15.53,46.04,1.83,36.6,16,0,11,"서울특별시 강남구 봉은사로 207, 6층 (논현동, 케이제이빌딩)",X,이병주,이병주,,딜자문은 사업보고서상 '경영자문' 기준
우영회계법인,,2026.03,67.33,11.96,29.41,4.66,21.3,17.76,43.68,6.93,31.63,15,0,12,"서울특별시 강남구 봉은사로 207, 6층 (논현동, 케이제이빌딩)",X,이병주,이병주,,딜자문은 사업보고서상 '경영자문' 기준
