법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
부일회계법인,,2022.03,37.85,12.65,20.64,3.13,1.42,33.41,54.54,8.28,3.77,10,0,10,부산광역시 동구 중앙대로260번길 7-5,X,정형섭,정형섭,,딜자문은 사업보고서상 '경영자문' 기준
부일회계법인,,2023.03,41.67,12.5,21.5,4.25,3.42,30.01,51.58,10.21,8.2,11,0,11,부산광역시 동구 중앙대로260번길 7-5,X,김영화,김영화,,딜자문은 사업보고서상 '경영자문' 기준
부일회계법인,,2024.03,35.05,12.66,18.95,2.42,1.03,36.11,54.07,6.89,2.93,10,0,9,부산광역시 동구 중앙대로260번길 7-5,X,박경철,박경철,,딜자문은 사업보고서상 '경영자문' 기준
부일회계법인,,2025.03,32.39,10.39,18.57,3.15,0.29,32.07,57.32,9.71,0.9,10,0,9,부산광역시 동구 중앙대로260번길 7-5,X,박경철,박경철,,딜자문은 사업보고서상 '경영자문' 기준
부일회계법인,,2026.03,34.2,11.19,17.55,4.96,0.49,32.72,51.33,14.5,1.45,10,0,9,부산광역시 동구 중앙대로260번길 7-5,X,박경철,박경철,,딜자문은 사업보고서상 '경영자문' 기준
