법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
정진세림회계법인,,2022.03,216.35,116.27,72.08,3.01,24.99,53.74,33.32,1.39,11.55,79,0,43,서울시 강남구 역삼로 121 3~5층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
정진세림회계법인,,2023.03,237.25,120.71,75.06,4.1,37.38,50.88,31.64,1.73,15.76,82,1,43,서울시 강남구 역삼로 121 3~5층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
정진세림회계법인,,2024.03,219.9,124.83,70.32,4.83,19.92,56.77,31.98,2.2,9.06,84,1,44,서울시 강남구 역삼로 121 3~5층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
정진세림회계법인,,2025.03,222.87,121.11,70.3,3.54,27.92,54.34,31.54,1.59,12.53,83,3,44,서울시 강남구 역삼로 121 3~5층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
정진세림회계법인,,2026.03,214.67,105.23,73.08,5.4,30.96,49.02,34.04,2.52,14.42,83,1,43,서울시 강남구 역삼로 121 3~5층,X,,,,딜자문은 사업보고서상 '경영자문' 기준
