법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
부영회계법인,,2022.03,68.59,20.36,39.86,0.85,7.52,29.68,58.11,1.25,10.96,15,0,14,"부산광역시 동구 중앙대로260번길 7-5(초량동, 항운회관1층)",X,조상구,조상구,,딜자문은 사업보고서상 '경영자문' 기준
부영회계법인,,2023.03,79.42,23.94,42.58,0.0,12.9,30.14,53.61,0.0,16.25,16,0,14,"부산광역시 동구 중앙대로260번길 7-5(초량동, 항운회관1층)",X,조상구,조상구,,딜자문은 사업보고서상 '경영자문' 기준
부영회계법인,,2024.03,98.77,26.9,61.48,0.86,9.53,27.23,62.25,0.87,9.65,19,0,14,"부산광역시 동구 중앙대로260번길 7-5(초량동, 항운회관1층)",X,조상구,조상구,,딜자문은 사업보고서상 '경영자문' 기준
부영회계법인,,2025.03,99.78,25.3,57.07,5.51,11.91,25.35,57.19,5.52,11.94,18,0,14,"부산광역시 동구 중앙대로260번길 7-5(초량동, 항운회관1층)",X,조상구,조상구,,딜자문은 사업보고서상 '경영자문' 기준
부영회계법인,,2026.03,81.98,24.07,43.52,1.38,13.01,29.36,53.08,1.69,15.87,17,0,13,"부산광역시 동구 중앙대로260번길 7-5(초량동, 항운회관 1층)",X,조상구,조상구,,딜자문은 사업보고서상 '경영자문' 기준
