법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
아성회계법인,,2024.03,12.66,0.91,6.06,0.03,5.65,7.21,47.89,0.24,44.65,6,1,3,"서울특별시 강남구 테헤란로 8길 11-4, 8층(역삼동, 신도빌딩)",X,옥광수,옥광수,,딜자문은 사업보고서상 '경영자문' 기준
아성회계법인,,2025.03,52.16,6.47,22.06,23.61,0.01,12.41,42.29,45.27,0.03,14,1,9,"서울특별시 강남구 테헤란로 8길 11-4, 6층(역삼동, 신도빌딩)",X,옥광수,옥광수,,딜자문은 사업보고서상 '경영자문' 기준
아성회계법인,,2026.03,59.29,12.48,28.5,17.63,0.68,21.04,48.07,29.74,1.15,18,2,11,"서울특별시 강남구 테헤란로 8길 11-4, 6층(역삼동, 신도빌딩)",X,옥광수,옥광수,,딜자문은 사업보고서상 '경영자문' 기준
