법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
하나회계법인,,2022.03,53.89,8.62,32.7,12.43,0.14,15.98,60.69,23.06,0.27,13,0,11,"서울시 강남구 강남대로 78길 12, 8층 (역삼동, 프레스티지빌딩)",X,유종목,유종목,,딜자문은 사업보고서상 '경영자문' 기준
하나회계법인,,2023.03,59.7,9.47,33.44,16.79,0.0,15.86,56.01,28.13,0.0,13,0,12,"서울시 강남구 강남대로 78길 12, 8층 (역삼동, 프레스티지빌딩)",X,유종목,유종목,,딜자문은 사업보고서상 '경영자문' 기준
하나회계법인,,2024.03,62.66,10.76,34.79,16.86,0.25,17.17,55.52,26.91,0.41,15,0,14,"서울시 강남구 강남대로 78길 12, 8층 (역삼동, 프레스티지빌딩)",X,유종목,유종목,,딜자문은 사업보고서상 '경영자문' 기준
하나회계법인,,2025.03,56.39,10.71,32.09,13.49,0.1,18.99,56.91,23.92,0.18,16,0,15,"서울시 강남구 강남대로 78길 12, 8층 (역삼동, 프레스티지빌딩)",X,유종목,유종목,,딜자문은 사업보고서상 '경영자문' 기준
하나회계법인,,2026.03,62.64,13.16,34.13,15.04,0.32,21.01,54.48,24.01,0.5,17,0,15,"서울시 강남구 강남대로 78길 12, 8층 (역삼동, 프레스티지빌딩)",X,유종목,유종목,,딜자문은 사업보고서상 '경영자문' 기준
