법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
진성회계법인,,2022.03,44.57,12.73,19.34,10.23,2.27,28.57,43.39,22.95,5.09,11,1,10,"서울특별시 강남구 강남대로 140길 46(논현동, G&A학동파크 3층)",X,박지승,박지승,,딜자문은 사업보고서상 '경영자문' 기준
진성회계법인,,2023.03,46.16,15.32,18.37,9.71,2.76,33.19,39.8,21.04,5.98,11,0,9,"서울특별시 강남구 강남대로 140길 46(논현동, G&A학동파크 3층)",X,박지승,박지승,,딜자문은 사업보고서상 '경영자문' 기준
진성회계법인,,2024.03,40.5,14.74,18.09,5.26,2.41,36.4,44.65,13.0,5.95,12,1,9,"서울특별시 강남구 강남대로 140길 46(논현동, G&A학동파크 3층)",X,박지승,박지승,,딜자문은 사업보고서상 '경영자문' 기준
진성회계법인,,2025.03,42.1,14.31,18.87,5.96,2.96,33.99,44.82,14.15,7.04,12,1,9,"서울특별시 강남구 강남대로 140길 46(논현동, G&A학동파크 3층)",X,박지승,박지승,,딜자문은 사업보고서상 '경영자문' 기준
진성회계법인,,2026.03,41.15,13.37,19.06,6.34,2.38,32.49,46.32,15.41,5.78,14,2,9,"서울특별시 강남구 강남대로 140길 46(논현동, G&A학동파크 3층)",X,박지승,박지승,,딜자문은 사업보고서상 '경영자문' 기준
