법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
지평회계법인,,2022.03,130.39,48.59,56.94,17.35,7.51,37.26,43.67,13.31,5.76,40,0,23,"서울특별시 강남구 테헤란로 429(삼성동, 원방빌딩 14층)",X,김용대,김용대,,딜자문은 사업보고서상 '경영자문' 기준
지평회계법인,,2023.03,147.51,67.05,57.37,20.93,2.15,45.46,38.89,14.19,1.46,45,0,23,"서울특별시 강남구 테헤란로 429(삼성동, 원방빌딩 14층)",X,김용대,김용대,,딜자문은 사업보고서상 '경영자문' 기준
지평회계법인,,2024.03,150.01,68.25,57.9,21.26,2.59,45.5,38.6,14.17,1.73,43,0,21,"서울특별시 강남구 테헤란로 429(삼성동, 원방빌딩 14층)",X,김용대,김용대,,딜자문은 사업보고서상 '경영자문' 기준
지평회계법인,,2025.03,112.29,42.42,54.05,14.22,1.59,37.78,48.14,12.66,1.42,24,0,18,"서울특별시 강남구 테헤란로 429(삼성동, 원방빌딩 14층)",X,이영재,이영재,,딜자문은 사업보고서상 '경영자문' 기준
지평회계법인,,2026.03,98.0,27.8,54.24,14.65,1.32,28.36,55.34,14.95,1.35,28,0,21,"서울특별시 강남구 테헤란로 84길 15, 시몬타워 8층",X,이영재,이영재,,딜자문은 사업보고서상 '경영자문' 기준
