법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
윤현회계법인,,2023.03,16.7,1.42,11.46,1.69,2.13,8.53,68.61,10.09,12.77,10,0,4,"서울특별시 중구 무교로 28, 5층(시그너스빌딩)",X,변지형,변지형,,딜자문은 사업보고서상 '경영자문' 기준
윤현회계법인,,2024.03,17.18,2.85,11.19,1.15,2.0,16.57,65.12,6.68,11.64,7,0,4,"서울특별시 중구 무교로 28, 5층(시그너스빌딩)",X,변지형,변지형,,딜자문은 사업보고서상 '경영자문' 기준
윤현회계법인,,2025.03,19.67,2.18,9.31,3.43,4.75,11.06,47.34,17.45,24.15,7,0,5,"서울특별시 중구 무교로 28, 5층(시그너스빌딩)",X,변지형,변지형,,딜자문은 사업보고서상 '경영자문' 기준
윤현회계법인,,2026.03,21.18,4.18,10.63,1.9,4.48,19.74,50.18,8.95,21.14,7,0,5,"서울특별시 중구 무교로 28, 5층(시그너스빌딩)",X,변지형,변지형,,딜자문은 사업보고서상 '경영자문' 기준
