법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
현무회계법인,,2021.06,15.12,2.4,8.88,2.44,1.4,15.89,58.73,16.13,9.25,10,0,5,"서울특별시 강남구 선릉로85길 8, 2층 (역삼동, 유화빌딩)",X,이충민,이충민,,딜자문은 사업보고서상 '경영자문' 기준
현무회계법인,,2022.06,27.88,4.12,13.89,9.49,0.38,14.78,49.83,34.03,1.36,15,0,8,"서울특별시 강남구 선릉로85길 8, 2층 (역삼동, 유화빌딩)",X,이충민,이충민,,딜자문은 사업보고서상 '경영자문' 기준
현무회계법인,,2023.06,39.15,4.68,16.38,15.96,2.14,11.96,41.83,40.75,5.46,18,0,12,"서울특별시 강남구 선릉로85길 8, 2층 (역삼동, 유화빌딩)",X,이충민,이충민,,딜자문은 사업보고서상 '경영자문' 기준
현무회계법인,,2024.06,38.58,5.54,13.83,12.34,6.87,14.36,35.84,31.99,17.81,12,0,10,"서울특별시 강남구 선릉로85길 8, 2층 (역삼동, 유화빌딩)",X,이충민,이충민,,딜자문은 사업보고서상 '경영자문' 기준
현무회계법인,,2025.06,38.32,7.35,14.77,9.68,6.52,19.17,38.54,25.25,17.02,13,0,11,"서울특별시 강남구 선릉로85길 8, 2층 (역삼동, 유화빌딩)",X,이충민,이충민,,딜자문은 사업보고서상 '경영자문' 기준
