법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
성문회계법인,,2021.06,147.11,32.98,103.92,7.71,2.5,22.42,70.64,5.24,1.7,24,0,20,"대구광역시 남구 봉덕로 14, 7층",X,안영기,안영기,,딜자문은 사업보고서상 '경영자문' 기준
성문회계법인,,2022.06,156.69,35.58,112.61,5.22,3.29,22.71,71.87,3.33,2.1,24,0,20,"대구광역시 남구 봉덕로 14, 7층",X,안영기,안영기,,딜자문은 사업보고서상 '경영자문' 기준
성문회계법인,,2023.06,173.3,36.92,124.69,7.74,3.95,21.31,71.95,4.46,2.28,23,0,20,"대구광역시 남구 봉덕로 14, 7층",X,안영기,안영기,,딜자문은 사업보고서상 '경영자문' 기준
성문회계법인,,2024.06,176.02,39.33,125.09,6.56,5.03,22.35,71.06,3.73,2.86,23,0,20,"대구광역시 남구 봉덕로 14, 7층",X,안영기,안영기,,딜자문은 사업보고서상 '경영자문' 기준
성문회계법인,,2025.06,182.85,39.7,129.56,9.08,4.51,21.71,70.86,4.96,2.47,21,0,19,"대구광역시 남구 봉덕로 14, 7층",X,안영기,안영기,,딜자문은 사업보고서상 '경영자문' 기준
