법인명,브랜드,기준연도,매출액_억원,감사매출_억원,세무매출_억원,딜자문매출_억원,기타매출_억원,감사비중_pct,세무비중_pct,딜자문비중_pct,기타비중_pct,회계사수,수습CPA수,파트너수,본사소재지,상장감사인등록,현재대표이사,보고서상대표이사,주요감사고객_공개확인분,비고
보명회계법인,,2022.03,62.81,15.75,40.22,3.85,2.98,25.07,64.05,6.13,4.75,13,0,8,"경상남도 창원시 성산구 중앙대로 257, 201호 (용호동, 경남무역회관)",X,이만호,이만호,,딜자문은 사업보고서상 '경영자문' 기준
보명회계법인,,2023.03,69.08,18.13,44.78,3.97,2.2,26.25,64.81,5.75,3.19,14,0,10,"경상남도 창원시 성산구 중앙대로 257, 201호 (용호동, 경남무역회관)",X,이만호,이만호,,딜자문은 사업보고서상 '경영자문' 기준
보명회계법인,,2024.03,67.51,17.96,39.34,6.33,3.9,26.6,58.27,9.37,5.77,14,0,10,"경상남도 창원시 성산구 중앙대로 257, 201호 (용호동, 경남무역회관)",X,이만호,이만호,,딜자문은 사업보고서상 '경영자문' 기준
보명회계법인,,2025.03,77.69,19.47,40.55,15.06,2.61,25.06,52.2,19.38,3.36,15,4,10,"경상남도 창원시 성산구 중앙대로 257, 301호 (용호동, 경남무역회관)",X,이만호,이만호,,딜자문은 사업보고서상 '경영자문' 기준
보명회계법인,,2026.03,74.7,20.8,37.91,9.4,6.6,27.84,50.75,12.59,8.83,18,2,10,"경상남도 창원시 성산구 중앙대로 257, 301호 (용호동, 경남무역회관)",X,이만호,이만호,,딜자문은 사업보고서상 '경영자문' 기준
